company_name,stock_ticker,company_location,current_stock_price,description,Industry,Founded,Headquarters,Country/Territory,CEO and Chair,Employees,Revenue,Assets,Profits,Previous Close,Open,Day’s Range,Volume,52 Week Range,Market Cap,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Ex-Dividend Date,Price to Sales (ttm),Price to Book Value (ttm),Price to Tangible Book Value (ttm),Total Enterprise Value to EBIT (ttm),Total Enterprise Value to EBITDA (ttm),Total Enterprise Value to Total Revenue (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),EBITDA (ttm),EBITDA Growth (y/o/y),Diluted EPS Growth (y/o/y),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Consensus Recommendation,Consensus Price,Range of Price Targets,Range of EPS,Consensus EPS,Consensus Revenue,Range of Revenue,Chief Executive Officer,CEO,CEO and President,Chairman,"Chair, CEO and Founder",Chairman of the board,Group CEO and President,Chairman and CEO,Vice Chairman,"CEO, President, and Chair","CEO, Director, and Deputy Party Committee Secretary",Co-CEO,"CEO, President, and Founder",President and CEO,"President, Canada",Chief Executive Officer,Co-CEOs & Co-Presidents,President,"Chairman, President and CEO",Executive Chair and CEO,President & CEO,CEO & Co-Founder,Co-CEOs,CEO & Founder,Chairman and Co-CEO,Chairman and Chief Executive Officer,"Co-Founder, Co-CEO and Chairman",Charter President,President & Representative Director,CEO and Chairman
ArcelorMittal,,"Luxembourg, Luxembourg",,"ArcelorMittal SA is a holding company, which engages in steelmaking and mining activities. It operates through the following business segments: NAFTA, Europe, Brazil, ACIS, Mining, and Others. The NAFTA segment consists of flat products such as slabs, hot-rolled coil, cold-rolled coil, coated steel, and plate. The Europe segment offers hot-rolled coil, cold-rolled coil, coated products, tinplate, plate, and slab. The Brazil segment covers wire rod, bar and rebars, billets, blooms, and wire drawing. The ACIS segment produces a combination of flat, long, and tubular products. The Mining segment focuses on steel operations. The Others segment represents the corporate and shared services, financial activities, and shipping and logistics. The company was founded by Lakshmi N Mittal in 1976 and is headquartered in Luxembourg. Read Less",Materials,2006,Luxembourg,Luxembourg,,"154,352",$79.5B,$94.5B,$9B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aditya Mittal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackRock,NYSE: BLK,"New York, New York",$805.45,"BlackRock, Inc. engages in providing investment management, risk management, and advisory services for institutional and retail clients worldwide. Its products include single and multi-asset class portfolios investing in equities, fixed income, alternatives, and money market instruments. The company was founded by Ralph L. Schlosstein, Susan L. Wagner, Robert Steven Kapito, and Laurence Douglas Fink in 1988 and is headquartered in New York, NY.",Diversified Financials,1988,"New York, New York",United States,,"19,800",$17.4B,$121.4B,$4.9B,798.11,798.81,795.42 x 806.06,"419,300",596.18 x 819.00,$119.61B,22.06,20.12,36.51,20.00,2.56%,"Dec 6, 2023",6.73,3.11,24.89,19.59,18.37,6.95,48.70%,35.49%,30.81%,N/A,14.29%,$17.18B,119.62,-0.08%,$6.76B,-1.98%,7.48,$7.07B,47.47,$9.66B,23.78%,N/A,Outperform,892.31,734.00 to 1025.00,37.49 to 43.62,40.03,$20.07B,$19.41B to $20.92B,Larry Fink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suncor Energy,NYSE: SU,"Calgary, Canada",$33.59,"Suncor Energy, Inc. is an integrated energy company, which develops petroleum resource basins. Its activities include oil sands development, and upgrading, onshore and offshore oil and gas production, petroleum refining, and product marketing. The company operates through the following business segments: Oil Sands; Exploration & Production; and Refining & Marketing. The Oil Sands segment refers to the operations in the Athabasca oil sands in Alberta to develop and produce synthetic crude oil and related products through the recovery and upgrading of bitumen from mining and in situ operations. The Exploration and Production segment includes offshore activity in East Coast Canada the exploration and production of crude oil and natural gas in the United Kingdom, Norway, Libya, and Syria, and exploration and production of natural gas and natural gas liquids in Western Canada. The Refining & Marketing segment is the refining of crude oil products and the distribution & marketing of these and other purchased products through retail stations located in Canada and the United State, as well as a lubricants plant located in Eastern Canada. The company was founded in 1917 and is headquartered in Calgary, Canada. Read Less","Construction, Oil & Gas Operations, Mining and Chemicals",1979,Calgary,Canada,,"16,558",$44.9B,$62.5B,$7B,32.64,32.72,32.64 x 33.63,"3,919,835",27.59 x 35.51,$113.06B,28.64,23.66,7.07,3.50,1.74%,"May 9, 2023",3.16,4.27,N/A,20.72,17.40,3.46,41.81%,16.56%,11.15%,6.34%,15.65%,$35.9B,64.13,5.05%,$6.78B,6.27%,14.96,$4.7B,8.41,$15.14B,55.71%,1.22,Outperform,191.00,155.00 to 231.00,8.34 to 8.79,8.56,$37.66B,$36.92B to $38.06B,Rich Kruger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Natural Resources,,"Calgary, Canada",,"Canadian Natural Resources Ltd. is a senior oil and natural gas production company, which engages in the exploration, development, marketing, and production of crude oil and natural gas. It operates through the following segments: Oil Sands Mining and Upgrading; Midstream and Refining; Exploration and Production; and Head Office. The Oil Sands Mining and Upgrading segment produces synthetic crude oil through bitumen mining and upgrading operations. The Midstream and Refining segment focuses in maintaining pipeline operations and investment. The Exploration and Production segment comprises operations in North America, largely in Western Canada; the United Kingdom portion of the North Sea; and Côte d'Ivoire and South Africa in Offshore Africa. The company was founded on November 7, 1973 and is headquartered in Calgary, Canada. Read Less","Construction, Oil & Gas Operations, Mining and Chemicals",1973,Calgary,Canada,,"10,035",$30.4B,$55.6B,$7.3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordea Bank,,"Helsinki, Finland",,"Nordea Bank Abp provides full-services banking services. It operates through the following segments: Personal Banking, Commercial & Business Banking, Wholesale Banking, and Asset & Wealth Management. The Personal Banking segment offers household customers a full range of financial services and solutions through digital and other channels. The Commercial & Business Banking segment serves, advices and partners with small, medium and large corporate customers. The Wholesale Banking segment provides financing, cash management, and payment services, investment banking, capital markets products, and securities services to large corporate and institutional customers. The Asset & Wealth Management segment offers investment, savings, and pensions solutions to individuals and institutional investors. The company was founded in 1820 and is headquartered in Helsinki, Finland. Read Less",Banking,1974,Helsinki,Finland,,"28,268",$18B,$656.4B,$4.6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Vang-Jensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Resources Land,,"Hong Kong, Hong Kong",,"China Resources Land Ltd. is an investment holding company, which engages in the investment and management of real estate properties. It operates through the following segments: Development of Properties for Sale; Property Investments and Management; Hotel Operations; and Construction, Decoration Services and Others. The company was founded in 1994 and is headquartered in Hong Kong.",Construction,1994,Hong Kong,Hong Kong,,"55,311",$30.6B,$155.5B,$4.1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yong Tang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAP,,"Walldorf, Germany",,"SAP SE engages in the provision of enterprise application software and software-related services. It operates through the following segments: Applications, Technology, and Services; Intelligent Spend Group; and Qualtrics. The Applications, Technology, and Services segment includes software licenses, cloud subscriptions, and related services. The Intelligent Spend Group segment comprises cloud-based collaborative business networks, subscriptions to the cloud offering, and related professional and educational services. The Qualtrics segment sells experience management cloud solutions. The company was founded by Hasso Plattner, Klaus Tschira, Claus Wellenreuther, Dietmar Hopp, and Hans-Werner Hector in 1972 and is headquartered in Walldorf, Germany. Read Less",IT Software & Services,1972,Walldorf,Germany,,"111,961",$32.5B,$79.9B,$2.1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travelers,NYSE: TRV,"New York, New York",$219.48,"The Travelers Cos., Inc. is a holding company, which engages in the provision of commercial and personal property and casualty insurance products and services. It operates through the following business segments: Business Insurance; Bond and Specialty Insurance; and Personal Insurance. The Business Insurance segment offers a broad array of property and casualty insurance, and insurance related services to its customers. The Bond and Specialty Insurance segment includes surety, fidelity, management liability, professional liability, and other property and casualty coverage and related risk management services. The Personal Insurance segment consists of products of automobile and homeowners insurance are complemented by a broad suite of related coverages. The company was founded in 1853 and is headquartered in New York, NY. Read Less",Insurance,1864,"New York, New York",United States,,"30,000",$37.8B,$108.9B,$2.8B,220.10,221.00,217.39 x 221.38,"1,512,163",157.33 x 221.38,$50.29B,17.16,12.05,12.79,3.93,1.82%,"Dec 7, 2023",1.22,2.01,2.42,15.46,12.73,1.40,21.57%,9.06%,7.23%,1.94%,12.87%,$40.68B,180.08,12.15%,$4.47B,-1.37%,8.67,$5.79B,2.85,$8.27B,33.20%,0.33,Hold,216.59,175.60 to 261.00,15.71 to 19.54,18.21,$42.12B,$39.62B to $43.03B,Alan D. Schnitzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netflix, NFLX,"Los Gatos, California",$573.35,"Netflix, Inc. is a streaming entertainment service company, which provides subscription service streaming movies and television episodes over the Internet and sending DVDs by mail. It operates through the following segments: Domestic Streaming, International Streaming and Domestic DVD. The Domestic Streaming segment derives revenues from monthly membership fees for services consisting solely of streaming content to its members in the United States. The International Streaming segment includes fees from members outside the United States. The Domestic DVD segment covers revenues from services consisting solely of DVD-by-mail. The company was founded by Marc Randolph and Wilmot Reed Hastings Jr., on August 29, 1997 and is headquartered in Los Gatos, CA. Read Less",Media & Advertising,1997,"Los Gatos, California",United States,,"9,000",$31.9B,$49.5B,$4.2B,575.13,573.51,567.32 x 575.77,"2,270,697",285.33 x 597.00,$248.12B,47.66,33.60,12.03,N/A,N/A,N/A,7.51,12.05,31.55,37.09,32.45,7.65,41.54%,20.62%,16.04%,8.93%,26.15%,$33.72B,76.37,6.67%,$7.31B,22.47%,20.90,$7.14B,16.45,$16.97B,82.44%,1.12,Outperform,574.72,335.00 to 700.00,14.15 to 19.40,17.07,$38.48B,$35.71B to $39.92B,,,,,,,,,,,,Greg Peters Ted Sarandos,,,,,,,,,,,,,,,,,,
Dell Technologies,NYSE: DELL,"Round Rock, Texas",$81.39,"Dell Technologies, Inc. is a holding company that engages in the provision of information technology hardware, software, and service solutions through its subsidiaries. It operates through the following segments: Infrastructure Solutions Group (ISG) and Client Solutions Group (CSG). The ISG segment includes servers, networking, and storage, as well as services and third-party software and peripherals that are closely tied to the sale of ISG hardware. The CSG segment consists of sales to commercial and consumer customers of desktops, thin client products, and notebooks. The company was founded by Michael Saul Dell in 1984 and is headquartered in Round Rock, TX. Read Less","Semiconductors, Electronics, Electrical Engineering",1984,"Round Rock, Texas",United States,Michael Dell,"42,560",$101.6B,$89.6B,$2.4B,82.46,81.29,80.49 x 81.81,"3,360,999",35.96 x 86.90,$57.49B,22.54,12.13,3.61,1.44,1.79%,"Jan 22, 2024",0.64,N/A,N/A,15.64,9.24,0.84,23.38%,5.38%,2.92%,3.64%,N/A,$91.15B,126.24,-13.40%,$7.91B,-12.76%,54.67,$8.3B,11.61,$27.47B,N/A,0.76,Outperform,82.56,46.00 to 100.00,6.00 to 7.46,6.71,$89.94B,$87.3B to $92.98B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CK Hutchison,,"Hong Kong, Hong Kong",,"CK Hutchison Holdings Ltd. is an investment holding company, which engages in the development, innovation, operation and investment in different business sectors. It operates through the following segments: Ports and Related Services; Retail; Infrastructure; Husky Energy and Telecommunications. The company was founded on December 12, 2014 and is headquartered in Hong Kong.",Retailing,2014,Hong Kong,Hong Kong,,"300,000",$33.5B,$147.1B,$4.7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tzar Kuoi Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Vanke,,"Shenzhen, China",,"China Vanke Co., Ltd. engages in the development and sale of properties. It engages in property development with commodity housing projects. It operates through the Property Development and Property Management divisions. The Property Development division refers to the sale and development of residential properties. The Property Management division offers management and other related services to purchasers and tenants of the company's developed residential properties and shopping arcades as well as those developed by external property developers. The company was founded by Shi Wang on May 30, 1984 and is headquartered in Shenzhen, China. Read Less",Construction,1984,Shenzhen,China,,"131,817",$75.6B,$253.7B,$3.3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiu Sheng Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vodafone,,"Berkshire, United Kingdom",,"Vodafone Group Plc engages in the provision of telecommunications services. It focuses on small and medium sized enterprises; large and multinational corporates; and carrier services. The firm also intends to invest in the growth areas of communications, cloud and hosting, internet of things, security, and fixed connectivity. It operates through the following geographical segments: Germany, Italy, United Kingdom, Spain, and Other Europe. The company was founded on July 17, 1984 and is headquartered in Newbury, the United Kingdom.","Telecommunications Services, Cable Supplier",1984,Berkshire,United Kingdom,,"104,000",$49.7B,$154.2B,$2.2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Margherita della Valle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volvo Group,,"Goteborg, Sweden",,"Volvo AB engages in the design, manufacture, and market of commercial vehicles. It operates through the following segments: Trucks, Construction Equipment, Buses, Volvo Penta, Group Functions and Other, Industrial Operations, and Financial Services. The Trucks segment includes the production, development, and logistics for powertrain and parts. The Volvo Penta segment markets marine and industrial engines. The Group Functions and Other segment encompasses Volvo Group IT and Volvo Group Real Estate. The company was founded by Assar-Thorvald Nathanael-Gabrielsson and Erik Gustaf Larson in 1915 and is headquartered in Göteborg, Sweden. Read Less",Automotive (Automotive and Suppliers),1927,Goteborg,Sweden,,"105,000",$48.1B,$63.1B,$3.7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin Lundstedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFC,,"Mumbai, India",,"Housing Development Finance Corp. Ltd. engages in provision of housing financing. The company's offerings include loans for purchase and construction of a residential unit, purchase of land, home improvement loans, home extension loans, non-residential premise loans for professionals and loan against property and repayment options include step-up repayment facility and flexible loan installment plan. It operates in India, Kuwait, Oman, Qatar, Saudi Arabia, Singapore, United Arab Emirates and United Kingdom. The company was founded by Hasmukh Thakorda Parekh on October 17, 1977 and is headquartered in Mumbai, India. Read Less",Banking and Financial Services,1977,Mumbai,India,,"355,000",$19B,$132.8B,$3.3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keki M. Mistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglo American,,"London, United Kingdom",,"Anglo American Plc is a mining company, which engages in the exploration and mining of precious base metals and ferrous metals. The company operates through the following segments: Iron Ore, Manganese, and Corporate and Other. Its portfolio of mining businesses includes span bulk commodities, including iron ore and manganese, metallurgical coal and thermal coal, base metals and minerals, copper, nickel, niobium and phosphates, and precious metals and minerals. The company was founded by Ernest Oppenheimer in 1917 and is headquartered in London, the United Kingdom.",Materials,1917,London,United Kingdom,,"62,350",$35.1B,$67.4B,$4.4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duncan Graham Wanblad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mastercard,NYSE: MA,"Harrison, New York",$459.05,"Mastercard, Inc. operates as a technology company. The firm engages in the payments industry that connects consumers, financial institutions, merchants, governments and business. It offers payment solutions for the development and implementation of credit, debit, prepaid, commercial and payment programs. The company was founded in 1966 and is headquartered in Purchase, NY.",Banking and Financial Services,1966,"Harrison, New York",United States,,"29,900",$22.8B,$38.9B,$9.7B,451.75,453.31,452.00 x 459.60,"2,896,019",340.21 x 474.17,$428.24B,38.80,31.84,11.83,2.37,0.58%,"Jan 8, 2024",17.27,61.91,N/A,29.91,28.35,17.34,100.00%,57.96%,44.61%,22.40%,167.41%,$25.1B,26.59,12.87%,$15.35B,14.74%,15.75,$9.18B,9.19,$16.46B,235.19%,1.17,Buy,504.68,412.00 to 575.00,13.62 to 14.81,14.42,$28.12B,$27.75B to $28.38B,Michael E. Miebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novo Nordisk,,"Bagsvaerd, Denmark",,"Novo Nordisk A/S is a healthcare company, which engages in the research, development, manufacture, and marketing of pharmaceutical products. It operates through the following segments: Diabetes & Obesity Care, and Biopharmaceuticals. The Diabetes & Obesity Care segment covers products for insulin; GLP-1 and related delivery systems; oral antidiabetic products; and obesity. The Biopharmaceuticals segment offers products for haemophilia; growth hormone therapy; and hormone replacement therapy. The company was founded by Harald Pedersen and Thorvald Pedersen in 1925 is headquartered in Bagsværd, Denmark. Read Less",Drugs & Biotechnology,1923,Bagsvaerd,Denmark,,"55,000",$26.3B,$36.5B,$8.5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lars Fruergaard Jørgensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northrop Grumman,NYSE: NOC,"Falls Church, Virginia",$460.00,"Northrop Grumman Corp. engages in the provision of security businesses. It includes products, systems, and solutions in autonomous systems, cyber, command, control, communications and computers, intelligence, surveillance and reconnaissance, strike, and logistics and modernization. It operates through the following business segments: Aerospace Systems, Innovation Systems, Mission Systems, and Technology Services. The Aerospace Systems segment includes the design, development, integration, and production of manned aircraft, autonomous systems, spacecraft, high-energy laser systems, microelectronics, and other systems and subsystems. The Innovation Systems segment deigns, develops, integrates, and produces flight, armament, and space systems to enable national security, civil government, and commercial customers. The Mission Systems segment consists of sensors and processing; cyber and intelligence, surveillance and reconnaissance; and advanced capabilities. The Technology Services focuses on global logistics and modernization; advanced defense services; and system modernization and services. The company was founded by John K. Northrop, Thomas V. Jones, and Kent Kresa in 1939 and is headquartered in Falls Church, VA. Read Less",Aerospace & Defense,1939,"Falls Church, Virginia",United States,,"95,000",$37.1B,$44.2B,$4.8B,453.91,454.68,453.76 x 461.09,"1,284,329",414.56 x 496.89,$69.02B,34.00,18.65,13.53,7.34,1.65%,"Nov 24, 2023",1.77,4.67,N/A,30.86,18.31,2.08,16.67%,6.73%,5.23%,3.66%,13.66%,$39.29B,259.34,7.34%,$3.98B,-48.14%,-57.01,$3.11B,20.71,$16.05B,108.47%,1.15,Hold,486.05,385.00 to 615.00,23.65 to 25.39,24.66,$41.08B,$40.82B to $41.44B,,,,,,,,,,Kathy Warden,,,,,,,,,,,,,,,,,,,,
PTT ,,"Bangkok, Thailand",,"PTT Public Co., Ltd. is a holding company, which engages in the development and exploration of gas properties. It operates through the following segments: Gas, Petro & Refine, Oil & Training, PTT Exploration and Production Public Company Limited (PTTEP), and Other. The Other segment offers coal. The company was founded on December 29, 1978 and is headquartered in Bangkok, Thailand.",Oil & Gas Operations,1978,Bangkok,Thailand,,,$96B,$98.6B,$2.6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auttapol Rerkpiboon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PayPal, PYPL,"San Jose, California",$57.48,"PayPal Holdings, Inc. engages in the development of technology platform for digital payments. Its solutions include PayPal, PayPal Credit, Braintree, Venmo, Xoom, and Paydiant products. The firm manages a two-sided proprietary global technology platform that links customers, which consist of both merchants and consumers, to facilitate the processing of payment transactions. It allows its customers to use their account for both purchase and paying for goods, as well as to transfer and withdraw funds. The firm also enables consumers to exchange funds with merchants using funding sources, which include bank account, PayPal account balance, PayPal Credit account, credit and debit card or other stored value products. It offers consumers person-to-person payment solutions through its PayPal Website and mobile application, Venmo and Xoom. The company was founded in December 1998 and is headquartered in San Jose, CA. Read Less",Banking and Financial Services,1998,"San Jose, California",United States,,"29,900",$27.1B,$78.7B,$2.4B,58.63,58.08,57.15 x 58.45,"13,381,025",50.25 x 79.27,$61.6B,14.97,11.21,3.84,N/A,N/A,N/A,2.13,2.93,6.49,12.23,10.57,1.99,39.59%,16.31%,14.26%,3.77%,20.55%,$29.77B,26.99,8.19%,$5.45B,10.45%,83.73,$14.06B,8.47,$11.84B,56.26%,1.29,Outperform,71.43,56.00 to 145.00,5.06 to 5.27,5.13,$31.83B,$30.31B to $32.33B,,,Dan Schulman,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASML Holding,,"Veldhoven, Netherlands",,"ASML Holding NV engages in the development, production, marketing, sale and servicing of advanced semiconductor equipment, consisting of lithography related systems. It mainly caters the makers of memory chips and logic chips. The company was founded on April 1, 1984 and is headquartered in Veldhoven, Netherlands.",Semiconductors,1984,Veldhoven,Netherlands,,"39,086",$25.4B,$38.2B,$7.2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter T. F. M. Wennink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA, NVDA,"Santa Clara, California",$674.72,"NVIDIA Corp. engages in the design and manufacture of computer graphics processors, chipsets, and related multimedia software. It operates through the Graphics Processing Unit (GPU) and Tegra Processor segments. The GPU segment comprises of product brands, which aims specialized markets including GeForce for gamers; Quadro for designers; Tesla and DGX for AI data scientists and big data researchers; and GRID for cloud-based visual computing users. The Tegra Processor segment integrates an entire computer onto a single chip, and incorporates GPUs and multi-core CPUs to drive supercomputing for autonomous robots, drones, and cars, as well as for consoles and mobile gaming and entertainment devices. The company was founded by Jen-Hsun Huang, Chris A. Malachowsky, and Curtis R. Priem in January 1993 and is headquartered in Santa Clara, CA. Read Less","Semiconductors, Electronics, Electrical Engineering",1993,"Santa Clara, California",United States,,"26,196",$27B,$41.2B,$4.4B,694.52,680.06,662.48 x 688.88,"67,456,302",204.21 x 746.11,$1.67T,88.88,32.73,7.59,0.16,0.02%,"Dec 5, 2023",37.12,50.02,60.32,80.49,74.04,36.98,69.85%,45.94%,42.10%,27.23%,69.17%,$44.87B,18.18,57.07%,$22.16B,154.20%,222.30,$18.28B,2.24,$11.03B,33.15%,3.59,Buy,751.94,410.00 to 1200.00,17.72 to 26.68,20.61,$91.32B,$81.18B to $117.73B,,,,,,,,,,,,,Jensen Huang,,,,,,,,,,,,,,,,,
3M,,"St. Paul, Minnesota",,"3M Co. is a technology company, which manufactures industrial, safety and consumer products. It operates through the following segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment consists of personal safety, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules. The Transportation and Electronics segment consists of electronics, automotive and aerospace, commercial solutions, advanced materials, and transportation safety. The Health Care segment includes medical and surgical supplies, skin health and infection prevention products, oral care solutions, separation and purification sciences, health information systems, inhalation and transdermal drug delivery systems, and food safety products. The Electronics & Energy segment involves in the optical films solutions for electronic displays, packaging and interconnection devices; insulating and splicing solutions; touch screens and touch monitors; renewable energy component solutions; and infrastructure protection products. The Consumer segment products includes office supply products, stationery products, home improvement products, home care products, protective material products, certain consumer retail personal safety products, and consumer health care products. The company was founded by Henry S. Bryan, Hermon W. Cable, John Dwan, William A. McGonagle and J. Danley Budd in 1902 and is headquartered in St. Paul, MN. Read Less",Packaged Goods,1902,"St. Paul, Minnesota",United States,,"92,000",$33.4B,$46.9B,$5.5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael F. Roman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Dynamics,NYSE: GD,"Reston, Virginia",$271.90,"General Dynamics Corp. is an aerospace and defense company, which engages in the provision of tanks, rockets, missiles, submarines, warships, fighters and electronics to all of the military services. It operates through the following segments: Aerospace, Combat Systems, Information Technology, Mission Systems and Marine Systems. The Aerospace segment delivers a family of Gulfstream aircraft and provides a range of services for Gulfstream aircraft and aircraft produced by other original equipment manufacturers. The Combat Systems segment offers combat vehicles, weapons systems and munitions for the U.S. government and its allies around the world. The Information Technology segment provides technologies, products and services in support of thousands of programs for a wide range of military, federal civilian, state and local customers. The Mission Systems segment provides mission-critical C4ISR products and systems. The Marine Systems segment designs, builds and supports submarines and surface ships. The company was founded on February 21, 1952 and is headquartered in Falls Church, VA. Read Less",Aerospace & Defense,1952,"Reston, Virginia",United States,,"89,460",$39.9B,$52.1B,$3.4B,268.93,270.16,268.91 x 272.28,"691,065",202.35 x 272.28,$74.38B,22.62,18.56,12.02,5.28,1.96%,"Jan 18, 2024",1.76,3.49,N/A,22.54,16.77,1.98,15.78%,8.77%,7.84%,4.36%,16.63%,$42.27B,154.76,7.27%,$4.57B,-16.68%,-1.39,$1.91B,7.00,$11.08B,52.04%,1.44,Outperform,290.19,253.00 to 345.00,14.38 to 15.08,14.65,$46.5B,$46.3B to $46.82B,Phebe N. Novakovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macquarie Group,,"Sydney, Australia",,"Macquarie Group Ltd. is a non-operating holding company, which engages in the provision of banking, financial, advisory, investment, and funds management services. It operates through the following segments: Macquarie Asset Management (MAM), Corporate and Asset Finance (CAF), Banking and Financial Services (BFS), Macquarie Capital, Commodities and Global Markets (CGM), and Corporate. The MAM segment delivers investment solutions to clients across a range of capabilities, including infrastructure, real estate, agriculture, equities, fixed income, private credit, liquid alternatives, and multi-asset solutions. The CAF segment consists of asset finance and principal finance businesses. The BFS segment offers personal banking, wealth management, business banking, and vehicle finance products and services to retail clients, advisers, brokers, and business clients. The Macquarie Capital segment includes capital solutions across a range of products and sectors including infrastructure, green, and conventional energy. The CGM segment comprises of integrated, end-to-end offering across global markets including equities, fixed income, foreign exchange, and commodities. The Corporate segment refers to the head office and central service groups, including group treasury and other investments. The company was founded on December 10, 1969 and is headquartered in Sydney, Australia. Read Less",Diversified Financials,1985,Sydney,Australia,,"20,509",$17.2B,$260.8B,$3.4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shemara Wikramanayake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOG Resources,NYSE: EOG,"Houston, Texas",$116.36,"EOG Resources, Inc. engages in the exploration, development, production and marketing of crude oil and natural gas. It operates through the United States, Trinidad, and Other International segments. The company was founded in 1985 and is headquartered in Houston, TX.",Oil & Gas Operations,1985,"Houston, Texas",United States,,"2,850",$28.4B,$41B,$9.4B,113.13,114.30,113.89 x 117.09,"3,111,575",97.27 x 135.06,$67.86B,8.63,9.91,13.48,3.30,5.43%,"Jan 16, 2024",2.85,2.44,2.44,6.71,4.59,2.81,63.12%,41.70%,33.22%,14.70%,30.55%,$23.65B,40.80,-18.28%,$13.56B,-0.09%,5.84,$5.33B,9.13,$4.14B,14.93%,2.43,Outperform,139.98,113.00 to 172.00,9.95 to 14.43,11.74,$23.35B,$17.42B to $26.09B,Ezra Y. Yacob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takeda Pharmaceutical,,"Tokyo, Japan",,"Takeda Pharmaceutical Co., Ltd. engages in the research and development, manufacture, import and export sale, and marketing of pharmaceutical drugs. It operates through the following segments: Prescription Drug, Consumer Healthcare, and Other. The Prescription Drugs segment includes the manufacture and sale of pharmaceutical products. The Consumer Healthcare segment includes the manufacture and sale of OTC drugs and quasi-drugs. The Other segment includes manufacture and sale of reagents, clinical diagnostics, and chemical products. The company was founded by Takeda Chobei on June 12, 1781 and is headquartered in Osaka, Japan. Read Less",Drugs & Biotechnology,1781,Tokyo,Japan,,"49,095",$30B,$102.4B,$2.1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christophe Weber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
