company_name,Ticker1,Industry,Country/Territory,Employees,Revenue,Assets,Profits,Sector,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Price to Sales (ttm),Price to Book Value (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),Total Cash Per Share,Total Debt/Equity,Current Ratio,Market Cap USD,EBITDA (ttm) USD,Total Cash USD,Total Debt USD,segment_list,business_segments_homologation
Progressive,PGR,Insurance,United States,55100.0,52.0,74.5,0.8555,Financial Services,31.241642,18.654264,6.58,1.15,0.0056,1.9393989,6.081953,0.088929996,0.1524,0.06286,0.03938,0.21579,106.142,0.254,3.201,34.846,0.321,120.402345984,5.471799808,1.8748,7.065800192,"['Personal Lines', 'Commercial Lines and Property']","Auto Insurance, Home Insurance, Commercial Insurance, Digital Insurance, Telematics"
LG Chem,051910.KS,Chemicals,South Korea,12561.0,41.8,53.8,1.4,Basic Materials,,7.8123484,,3500.0,0.008,0.60908246,,0.15905,0.05133,0.02421,0.02174,0.05268,705841.1,,116793.266,53.564,1.569,25.575271285391363,4.896722538987521,6.9479235059712,16.6653673340928,"['Petrochemicals', 'IT & Electronic Materials', 'Batteries']","Petrochemicals, Batteries, Advanced Materials, Life Sciences, Renewable Energy Solutions"
Principal Financial Group,PFG,Banking and Financial Services,United States,19300.0,17.2,278.5,4.3,Financial Services,33.13333,10.058333,2.55,2.76,0.032899998,1.4582744,1.8300555,0.42734,-0.40386,0.0456,0.00161,0.06236,56.634,-0.146,23.84,41.026,1.471,19.928485888,1.0406,5.623199744,4.599300096,"['Retirement and Income Solutions', 'Principal Global Investors', 'Principal International', 'U']","Retirement Solutions, Insurance, Asset Management, Banking, Digital Finance"
Delta Air Lines,DAL,Transportation and Logistics,United States,95000.0,54.0,73.1,1.9,Industrials,6.415621,6.1251664,7.17,0.4,0.0088,0.5098006,2.6480916,0.22399999,0.1499,0.0794,0.052160002,0.52117,90.842,0.059,6.052,255.57,0.389,29.592905728,8.089999872,3.868,28.38099968,[],"Air Transportation, Cargo, Maintenance and Repair, Loyalty Programs, Sustainable Aviation"
DNB Bank,DNB.OL,Banking,Norway,10625.0,12.4,337.7,3.5,Financial Services,8.536488,9.145188,24.94,16.0,0.0753,4.065287,1.3067763,,0.60637003,0.49935,0.011879999,0.15267,51.439,0.068,392.278,,,32.1385332736,,59.502297088,134.6049015808,['Personal Customers; Small & Medium-Sized Enterprises; Large Corporates & International Customers; Trading; and Traditional Pension Products'],"Retail Banking, Corporate Banking, Investment Banking, Asset Management, Digital Banking"
Wilmar International,F34.SI,"Food, Drink & Tobacco",Singapore,100000.0,73.4,60.4,2.4,Consumer Defensive,9.157895,8.7,0.38,0.17,0.048899997,0.3234996,1.077066,0.07848,0.0446,0.02271,0.0251,0.07312,10.746,-0.071,1.351,134.942,1.159,21.724700672,3.67328512,8.436209152,30.701799424,['Tropical Oils; Oilseeds and Grains; Sugar; and Others'],"Agribusiness, Food Products, Renewable Energy, Fertilizers, Digital Supply Chain Solutions"
Ameriprise Financial,AMP,Banking and Financial Services,United States,13500.0,16.0,166.6,2.2,Financial Services,18.37748,11.824424,23.71,5.4,0.0125,2.7122407,9.230003,0.58536,0.28695,0.1588,0.021,0.59916,152.28,0.121,76.398,89.448,3.128,43.656224768,,7.662000128,4.230000128,['Advice & Wealth Management; Asset Management; Annuities; Protection; and Corporate & Other'],"Asset Management, Retirement Planning, Insurance, Banking, Digital Wealth Management"
Bank of Beijing,601169.SS,Banking,China,17980.0,18.6,509.7,3.6,Financial Services,5.3113213,4.614754,1.06,0.31,0.0551,2.465005,0.48513573,,0.53296,0.53079,0.0075199995,0.08128,2.288,0.083,25.607,,,17.4981574656,,79.587120807936,114.236050833408,[],"Retail Banking, Corporate Banking, Investment Banking, Asset Management, Digital Banking"
Kinder Morgan,KMI,"Construction, Chemicals, Raw Materials",United States,10525.0,18.3,68.9,2.5,Energy,17.084908,14.259843,1.06,1.13,0.0627,2.621155,1.3264484,0.49491,0.27291,0.15593,0.03763,0.07788,6.864,-0.118,0.037,102.994,0.352,40.192790528,6.44,0.083,32.679000064,"['Natural Gas Pipelines', 'CO2', 'Terminals', 'Product Pipelines', 'and Kinder Morgan Canada']","Energy Infrastructure, Natural Gas Pipelines, Terminals, CO2, Renewable Natural Gas"
Fannie Mae,FNMA,Banking and Financial Services,United States,8000.0,125.6,4300.0,12.3,Financial Services,inf,0.81041664,,,,0.070529014,,1.0,0.70969003,0.54507,0.00403,0.25236,5.443,0.968,11.626,5436.083,82.093,2.25248512,,66.718998528,4222.8580352,['Single-Family and Multifamily'],"Mortgage Financing, Securitization, Housing Finance, Affordable Housing, Digital Mortgage Solutions"
LyondellBasell Industries,LYB,Chemicals,United Kingdom,19300.0,47.5,36.3,3.0,Basic Materials,15.649151,10.165663,6.47,5.0,0.048899997,0.79932743,2.5409055,0.12791,0.05368,0.05143,0.060310002,0.16426,126.483,-0.027,10.563,101.118,1.839,32.857954304,4.909000192,3.428,13.203999744,"['Olefins and Polyolefins-Americas; Olefins and Polyolefins-Europe', 'Asia', 'International', 'Intermediates and Derivatives; Advanced Polymer Solutions; Refining; and Technology']","Plastics and Chemicals, Refining, Advanced Polymer Solutions, Circular and Low-Carbon Solutions, Digital Transformation"
Stryker,SYK,Health Care Equipment & Services,United States,27000.0,19.0,36.8,2.6,Healthcare,42.79782,26.68,8.26,3.2,0.0091,6.558061,7.2268786,0.63894004,0.24471001,0.15441,0.06866,0.17978,53.999,0.118,8.029,72.576,1.58,134.427131904,5.246000128,3.052999936,13.493999616,"['Orthopaedics', 'MedSurg and Neurotechnology and Spine']","Medical Devices, Orthopaedics, Neurotechnology, Surgical Products, Digital Healthcare Solutions"
Dollar General,DG,Retail and Wholesale,United States,164000.0,37.8,31.9,2.4,Consumer Defensive,17.751438,18.698181,8.69,2.36,0.0150999995,0.87511486,5.0188704,0.30288,0.0588,0.042940002,0.051069997,0.27033,176.34,-0.034,2.447,268.046,1.191,33.85960448,3.295092992,0.537283008,18.090766336,[],"Discount Retail, Consumables, Seasonal, Home Products, Digital Retail Services"
Japan Tobacco,2914.T,"Food, Drink & Tobacco",Japan,52640.0,20.2,47.7,3.4,Consumer Defensive,14.645587,13.590403,270.73,194.0,0.049000002,2.477618,1.8378093,0.56848,0.05708,0.16976,0.06002,0.12891,1600.479,0.054,618.957,30.235,1.691,64.05584453632,7.45892446208,9.9994351894528,10.7647266062336,"['Japanese Domestic Tobacco', 'International Tobacco', 'Pharmaceutical', 'Processed Food', 'and Other']","Tobacco Products, Pharmaceutical Ingredients, Processed Foods, Beverages, Reduced Risk Products"
HP,HPQ,"Semiconductors, Electronics, Electrical Engineering",United States,58000.0,58.6,36.1,2.6,Technology,8.821115,9.005988,3.41,1.1,0.037100002,0.5542361,,0.2186,0.07433,0.064330004,0.07561,,53.452,-0.044,2.464,,0.707,29.43270912,5.200999936,2.416999936,10.933999616,"['Personal Systems', 'Printing', 'and Corporate Investments']","Personal Computing Devices, Printers, 3D Printing, Corporate Hardware Solutions, Managed Services"
Panasonic,6752.T,"Semiconductors, Electronics, Electrical Engineering",Japan,233391.0,62.3,60.7,1.7,Technology,6.828224,9.020523,214.99,35.0,0.0239,0.40531135,0.81976366,0.29117,0.05376,0.05935,0.02572,0.13071,3622.236,0.009,524.71,36.616,1.387,31.1838499667968,5.6956261433344,11.1460898045952,14.5222167953408,"['Appliances', 'Eco Solutions', 'Connected Solutions Company', 'Automotive and Industrial Systems', 'and Others']","Consumer Electronics, Housing Solutions, Automotive Systems, Industrial Solutions, Connected Solutions"
OMV Group,OMV.VI,Utilities,Austria,22300.0,59.7,59.1,3.6,Energy,8.995781,3.5983121,4.74,2.95,0.0692,0.36195096,0.8853637,0.26758,0.112229995,0.04027,0.04854,0.07377,117.958,-0.304,27.665,35.985,1.825,15.064774778880002,7.27272013824,9.77400041472,9.85931993088,"['Upstream', 'Downstream', 'and Corporate and Other']","Oil and Gas Upstream, Refining and Marketing, Chemicals, Circular Economy Solutions, Sustainable Mobility"
Paccar,PCAR,Automotive (Automotive and Suppliers),United States,31100.0,30.8,34.8,3.1,Industrials,14.203196,14.552046,8.76,1.08,0.0089,1.8555785,4.1003165,0.19818,0.16981001,0.13097,0.101940006,0.3168,67.05,0.117,16.529,90.936,1.959,65.181646848,6.4784,8.659300352,14.439499776,"['Truck', 'Parts and Financial Services']","Truck Manufacturing, Powertrain Components, Financial Services, Aftermarket Parts, Connected Vehicle Solutions"
CSX,CSX,Transportation,United States,22500.0,15.1,41.5,4.3,Industrials,20.47027,17.292236,1.85,0.48,0.0128,5.0618987,6.1149683,0.48911998,0.36005002,0.25346002,0.08239,0.30010998,7.299,-0.013,0.733,158.238,1.05,74.192248832,7.168999936,1.436,19.199000576,[],"Rail Transportation, Intermodal Services, Real Estate, Technology Solutions, Logistics"
Becton Dickinson,BDX,Health Care Equipment & Services,United States,77000.0,18.8,54.4,1.6,Healthcare,55.544827,16.849371,4.35,3.8,0.016,3.5811875,2.7555768,0.44721,0.106879994,0.06444,0.03119,0.05125,67.719,0.026,4.091,63.595,1.082,69.804507136,4.912,1.182,16.110000128,"['BD Medical', 'BD Life Sciences and BD Interventional']","Medical Devices, Diagnostic Systems, Biosciences, Diabetes Care, Integrated Medication Management"
S&P Global,SPGI,Professional Services,United States,11750.0,12.0,62.0,2.8,Financial Services,52.135033,26.851503,8.22,3.64,0.0085,10.982326,3.935876,0.66863996,0.34518,0.21013,0.04671,0.07433,39.249,0.073,4.19,31.772,0.84,137.246130176,5.715999744,1.316,12.104999936,"['Ratings', 'Market Intelligence', 'Platts and Indices']","Ratings, Market Intelligence, Indices, Data and Technology Solutions, ESG Solutions"
Eaton,ETN,"Engineering, Manufacturing",Ireland,91924.0,21.4,35.5,2.6,Industrials,39.34164,27.774649,8.02,3.52,0.0114,5.439469,6.6200876,0.36360002,0.18301001,0.13873,0.066939995,0.17834,58.121,0.108,6.531,52.126,1.507,126.17392128,4.858999808,2.608999936,9.939999744,"['Electrical Products', 'Electrical Systems and Services; Aerospace', 'Vehicle and eMobility']","Power Management, Electrical Components, Aerospace, Vehicle, eMobility Solutions"
State Street,STT,Diversified Financials,United States,42226.0,14.0,290.8,2.7,Financial Services,13.607527,8.911971,5.58,2.76,0.0374,1.9267677,1.0505707,,0.14819999,0.16338,0.00649,0.07936,36.915,-0.039,346.038,,,22.926608384,,104.48400384,44.821000192,[],"Investment Servicing, Investment Management, Data and Analytics, Trading Services, Digital Finance"
Analog Devices,ADI,"Semiconductors, Electronics, Electrical Engineering",United States,24450.0,12.6,50.2,3.4,Technology,34.848213,26.019999,5.6,3.68,0.0189,8.365432,2.7224028,0.62469,0.23962,0.24340001,0.043730002,0.07813,23.165,-0.227,2.629,19.769,1.511,96.776445952,5.681083904,1.303559936,7.027512832,[],"Semiconductors, Signal Processing, Power Management, Sensors, Healthcare Solutions"
Adobe,ADBE,IT Software & Services,United States,14911.0,17.8,26.7,4.7,Technology,43.179897,27.266666,11.84,,,11.605344,14.980369,0.88082004,0.368,0.24082,0.15724,0.32367,43.758,0.113,15.055,26.429,1.049,231.364132864,7.589000192,6.819999744,4.086000128,"['Digital Media', 'Digital Experience', 'and Publishing']","Digital Media and Digital Experience Solutions, Digital Marketing, Digital Document Solutions, E-learning Solutions"
Freddie Mac,FMCC,Banking and Financial Services,United States,7839.0,90.4,3200.0,7.5,Financial Services,,inf,-0.05,,,0.04911996,,1.0,0.625,0.47681,0.0032499998,0.24871,6.834,0.372,40.715,6724.821,207.309,1.085600256,,131.157999616,3209.219014656,"['Single-family Guarantee', 'Multifamily and Capital Markets']","Mortgage Financing, Securitization, Housing Finance, Affordable Housing, Digital Mortgage Solutions"
Nokia,NOK,"Semiconductors, Electronics, Electrical Engineering",Finland,86900.0,26.4,45.6,4.5,Technology,27.538462,9.179487,0.13,0.13,0.0364,0.8887433,0.9631423,0.39707002,0.13773,0.029879998,0.03069,0.03205,4.011,-0.234,1.416,25.286,1.662,21.36418025472,3.13632,8.448840069120001,5.63328,"['Networks', 'Nokia Software', 'Nokia Technologies', 'and Group Common and Other']","Mobile and Fixed Networks, IP/Optical Networks, Cloud and Network Services, Webscale Routing and Automation"
AT&T,T,"Telecommunications Services, Cable Supplier",United States,160700.0,121.2,400.9,-9.1,Communication Services,8.71066,7.46087,1.97,1.11,0.0645,1.0025637,1.1877899,0.59059,0.16386,0.11762,0.04039,0.13833,17.049,0.022,0.951,135.038,0.713,122.741874688,41.925001216,6.801999872,161.25599744,"['Communications', 'WarnerMedia', 'Latin America and Xandr']","Mobile Communications, Broadband, Video Entertainment, Managed Services, Cybersecurity Solutions"
Orix,8591.T,Business Services & Supplies,Japan,32235.0,20.0,110.3,2.4,Financial Services,13.970985,9.999107,240.57,102.4,0.030299999,1.4317988,1.0407538,0.41237,0.19803,0.10348,0.02257,0.07817,2327.37,0.076,807.659,157.199,4.332,35.301629755392,8.4014205370368,8.4831111479296,54.4574190125056,"['Corporate Financial Services', 'Maintenance Leasing', 'Real Estate', 'Investment and Operation', 'Retail', 'and Overseas Business']","Leasing, Asset Management, Banking, Aircraft and Ship Financing, Venture Capital"
BCE,BCE,Telecommunications Services,Canada,44610.0,18.4,51.7,2.1,Communication Services,20.339285,14.417722,1.68,2.96,0.086,1.2634231,1.882126,0.43905997,0.20717,0.09172,0.04961,0.10805,27.048,0.005,1.942,175.984,0.652,24.31450005504,6.78833965056,1.38216,28.218058752,"['Bell Wireless', 'Bell Wireline and Bell Media']","Wireless, Wireline, Media, Internet and Communications Solutions, Cybersecurity"
Banorte,GFNORTEO.MX,Banking and Financial Services,Mexico,26455.0,16.8,106.2,2.3,Financial Services,9.770729,13.868878,17.97,13.08,0.0746,4.285298,2.01837,,0.53301996,0.44368,0.02446,0.21768999,41.27,0.148,57.382,,,26.326451879936,,8.55306436608,32.626673451008,"['Consolidated Bank', 'Long-term Savings', 'Brokerage', 'and SOFOM and Other Finance Companies']","Retail Banking, Commercial Banking, Investment Banking, Asset Management, Digital Banking"
Daikin Industries,6367.T,"Engineering, Manufacturing",Japan,96337.0,28.8,31.6,1.9,Industrials,24.909508,21.564737,828.8,240.0,0.0116,1.4189078,2.4387636,0.34346,0.068119995,0.05697,0.053600002,0.10656,14550.918,0.075,2456.339,34.693,1.649,54.99973617582081,5.3262298578944005,6.5438557929472,7.977123518873601,"['Air Conditioning and Refrigeration Business', 'Chemicals and Others']","Air Conditioning, Refrigeration, Air Purification, Chemicals, Smart Solutions"
Consolidated Edison,ED,Utilities,United States,14319.0,16.0,62.8,2.5,Utilities,12.2954235,15.830358,7.21,3.32,0.0373,2.0888948,1.4472524,0.50501,0.34756002,0.17179,0.028399998,0.11968,42.171,-0.146,3.441,118.206,1.012,30.629464064,5.106999808,1.188999936,25.009999872,"['Consolidated Edison Company of New York', 'Inc']","Electric and Gas Utilities, Renewable Energy, Energy Efficiency, Smart Grid Solutions"
Reckitt Benckiser Group,RKT.L,Household & Personal Products,United Kingdom,51824.0,17.8,34.6,2.9,Consumer Defensive,18.942732,12.197543,2.27,1.93,0.0444,2.1035705,364.90155,0.59971,0.22273001,0.11248,0.07492,0.18360001,20.381,,1.935,100.803,0.636,38.10129723392,5.6544,1.71988007936,10.58587992064,[],"Consumer Health, Hygiene, Nutrition, Home Care Products, Digital Solutions"
Swiss Life Holding,SLHN.SW,Insurance,Switzerland,10000.0,21.3,234.9,1.5,Financial Services,14.144321,13.997843,45.87,33.0,0.0514,1.651713,2.4933515,0.31633,0.087799996,0.098570004,0.0038800002,0.11968,380.47,-0.412,2550.872,159.863,19.003,18.88233363456,1.4523,75.7183909888,13.6650103296,"['Switzerland', 'Germany', 'France', 'International', 'Asset Managers', 'and Others']","Life Insurance, Pensions, Asset Management, Real Estate, Digital Insurance Solutions"
Naturgy Energy Group,NTGY.MC,Utilities,Spain,7112.0,35.7,43.1,1.7,Utilities,9.560388,14.1357155,2.07,2.0,0.1005,0.84820765,2.012406,0.3321,0.17306,0.08781,0.06004,0.2076,23.54,-0.387,3.961,133.8,1.217,20.7186259968,5.38812020736,4.10939993088,17.237879930880002,"['Gas Distribution', 'Electricity Distribution', 'Gas', 'Electricity', 'and Rest']","Natural Gas and Electricity Distribution, Renewable Energy, Energy Services, Digital Solutions"
MS&AD Insurance,8725.T,Insurance,Japan,39962.0,37.9,189.3,1.1,Financial Services,14.049037,11.953193,572.21,240.0,0.03,0.6599032,1.0998842,0.22415,0.19223,0.055170003,0.01566,0.10551,12091.857,0.349,5717.451,18.281,1.981,38.659366846464,6.8332492161024,27.4951042236416,6.5088752648192,"['Domestic Non-Life Insurance Business', 'Domestic Life Insurance Business', 'International Business', 'and Others']","Property and Casualty Insurance, Life Insurance, Asset Management, Digital Insurance Solutions"
Poste Italiane,PST.MI,Banking,Italy,111816.0,29.3,285.7,1.6,Industrials,7.7668915,7.416129,1.48,0.8,0.069699995,1.2273753,1.4406567,0.29931,0.1237,0.15231,0.0061500003,0.19952999,9.737,-0.57,3.255,913.814,0.509,16.727307632640002,3.79583981568,4.54788006912,103.02443716608,"['Mail', 'Parcels and Distribution', 'Payments', 'Mobile and Digital', 'Financial Services and Insurance Services']","Postal Services, Financial Services, Insurance, Mobile and Broadband Services, Digital Solutions"
General Mills,GIS,"Food, Soft Beverages, Alcohol & Tobacco",United States,15000.0,20.0,31.2,2.8,Consumer Defensive,15.770642,14.692308,4.36,2.36,0.034,1.9241233,4.1131787,0.34679002,0.1835,0.1266,0.07549,0.25566,34.686,-0.005,1.043,129.126,0.659,38.815916032,4.295699968,0.5886,12.513999872,['North America Retail; Convenience Stores and Foodservice; Europe and Australia; and Asia and Latin America; and Pet'],"Packaged Foods, Snacks, Organic Foods, Pet Foods, Digital Commerce Solutions"
Tata Consultancy Services,TCS.BO,Professional Services,India,614000.0,27.9,17.5,5.2,Technology,32.390984,,122.69,51.0,0.0128,6.0213633,15.945568,0.43014,0.25015,0.18787001,0.2387,0.45523998,653.036,0.04,118.9,8.297,2.437,186.941299490816,7.96535980032,5.592470028288,0.981239980032,"['Banking', 'Financial Services', '& Insurance; Manufacturing; Retail & Consumer Business; Communication', 'Media', '& Technology; and Others']","IT Services, Consulting, Digital Transformation, Cloud Solutions, Cybersecurity"
SEB AB,SEB-A.ST,Banking,Sweden,16500.0,10.8,366.6,2.9,Financial Services,8.217054,9.327467,18.06,8.5,0.0587,3.8850935,1.3870455,,0.58591,0.48106,0.010679999,0.17898001,37.838,0.065,241.268,,,30.7827605504,,50.0111015936,113.7826988032,"['Large Corporates & Financial Institutions', 'Corporate & Private Customers', 'Baltic', 'Life & Investment Management and Other']","Corporate Banking, Investment Banking, Wealth Management, Life Insurance, Digital Banking"
WM,WM,Business Services & Supplies,United States,46300.0,19.9,31.3,2.3,Industrials,37.531803,27.339767,5.66,3.0,0.014199999,4.1766114,12.354173,0.38285,0.19781,0.112799995,0.07445,0.33081,50.447,0.057,1.14,242.851,0.9,85.311463424,5.894000128,0.458,16.746999808,[],"Environmental Solutions, Waste and Recycling Services, Renewable Natural Gas, Sustainability Consulting"
Erste Group Bank,EBS.VI,Banking and Financial Services,Austria,45667.0,17.5,372.6,2.3,Financial Services,6.350629,8.799563,6.36,2.7,0.0684,1.5630186,0.752604,,0.40203997,0.28757,0.01186,0.14573,25.841,0.25,112.475,,,17.59596244992,,48.99998859264,57.97565743104,"['Retail', 'Corporates', 'Group Markets', 'Asset/Liability Management & Local Corporate Center', 'Savings Banks', 'and Group Corporate Center']","Retail Banking, Corporate Banking, Investment Banking, Asset Management, Digital Banking"
Tyson Foods,TSN,"Food, Soft Beverages, Alcohol & Tobacco",United States,124000.0,53.6,36.7,2.4,Consumer Defensive,,16.357746,-2.47,1.96,0.034,0.39160395,1.1401253,0.05185,0.04738,-0.01619,0.01159,-0.044910002,149.76,0.004,4.207,52.92,1.493,20.731512832,2.08,1.499000064,9.678000128,"['Chicken', 'Beef', 'Pork', 'and Prepared Foods']","Chicken, Beef, Pork, Prepared Foods, Alternative Proteins"
Booking Holdings,BKNG,IT Software & Services,United States,3100.0,18.2,25.2,4.0,Consumer Cyclical,31.079576,17.871784,117.37,35.0,0.0098,5.834276,,0.84582,0.14528,0.20075001,0.14901,225.73683,591.173,0.182,371.162,,1.278,124.649316352,6.429000192,12.682999808,15.002999808,[],"Online Travel Services, Accommodation Reservations, Business Services, Payment Solutions"
BAE Systems,BA.L,Aerospace & Defense,United Kingdom,93000.0,26.2,37.8,2.0,Industrials,22.525,17.931538,0.6,0.3,0.0225,1.7718248,387.24927,0.65409,0.09676,0.080469996,0.04646,0.17538,7.614,0.049,1.358,62.473,1.076,50.70381760512,3.49928015872,5.09640015872,8.30675976192,[],"Aerospace, Defense, Security, Electronics, Cyber and Intelligence"
Heineken,HEIA.AS,"Food, Soft Beverages, Alcohol & Tobacco",Netherlands,85000.0,30.2,57.0,1.4,Consumer Defensive,20.616137,14.487972,4.09,2.08,0.0247,1.5725895,2.368872,0.35251,0.14895001,0.07588,0.0467,0.10741,53.886,0.04,4.219,80.03,0.769,51.56671832064,6.15924006912,2.56715993088,19.69703903232,"['Europe', 'Americas', 'Africa', 'Middle East and Eastern Europe', 'Asia Pacific', 'and Heineken N']","Beer, Cider, Non-Alcoholic Beverages, Hospitality, E-commerce and Digital Solutions"
United Airlines Holdings,UAL,Transportation,United States,92800.0,48.8,70.4,1.9,Industrials,5.8433585,4.0267706,7.98,,,0.2847488,1.6404574,0.33511,0.07911,0.04874,0.04777,0.32281,163.871,0.099,43.862,394.026,0.833,15.29585152,7.793999872,14.387999744,36.738998272,[],"Air Transportation, Cargo, MileagePlus Loyalty Program, United Aviate Career Development"
Haier Smart Home,600690.SS,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",China,100000.0,36.1,34.6,2.2,Consumer Cyclical,13.385057,11.529703,1.74,0.57,0.024300002,0.80754226,2.204449,0.31013,0.09012,0.06292,0.04464,0.1673,27.658,0.061,5.561,29.18,1.106,30.551483203584,2.955010351104,7.76225329152,4.360242819072,[],"Home Appliances, Smart Home Solutions, Logistics, Biotechnology, Industrial Finance"
Johnson Controls International,JCI,"Engineering, Manufacturing",Ireland,100000.0,26.1,43.4,1.4,Industrials,24.081783,15.723301,2.69,1.48,0.0231,1.646123,2.6437578,0.33081,0.078600004,0.07849,0.040170003,0.12991,39.282,0.004,2.643,67.377,0.971,44.147376128,3.664999936,1.800999936,12.042999808,[],"Building Management Systems, Fire and Security Solutions, HVAC Equipment, Digital Solutions"
Cummins,CMI,"Engineering, Manufacturing",United States,58000.0,30.1,31.4,2.5,Industrials,56.692608,13.949258,5.14,6.72,0.0234,1.1657968,4.668974,0.24215001,0.08756,0.02158,0.069180004,0.083459996,240.402,0.099,19.322,73.96,1.178,39.712866304,4.464,2.740999936,7.325000192,"['Engine', 'Distribution', 'Components', 'Power Systems and New Power']","Engines, Power Generation, Electrified Powertrains, Filtration, Digital Solutions"
Wanhua Chemical Group,600309.SS,Chemicals,China,24387.0,24.0,34.6,2.2,Basic Materials,14.402985,9.872122,5.36,1.6,0.0207,1.3822273,2.7340014,0.16715999,0.09806,0.09589,0.056789998,0.2082,55.896,0.218,7.553,104.788,0.569,35.631136063488,4.517836904448,3.486231791616,14.549604163584,[],"Petrochemicals, Specialty Chemicals, Polymers, Advanced Materials, New Energy Solutions"
Bank Of Shanghai,601229.SS,Banking,China,14333.0,15.3,432.2,3.3,Financial Services,4.874074,4.0869565,1.35,0.4,0.0608,2.4301457,0.40261886,,0.61119,0.58382,0.0075700004,0.10002,2.703,0.075,39.43,,,13.741572268032,,82.345395879936,90.99145445376,"['Wholesale Financial Business', 'Retail Financial Business', 'and Others']","Corporate Banking, Personal Banking, Investment Banking, Asset Management, Digital Banking"
China Yangtze Power,600900.SS,Utilities,China,7750.0,8.2,84.4,3.2,Utilities,25.71134,16.85135,0.97,0.85,0.0342,7.817336,3.0946767,0.42520002,0.10105,0.35086,,0.1356,3.19,0.873,0.317,161.397,,89.704822996992,6.487275712512,1.141053268992,49.396656734208,[],"Hydropower Generation, Coal Power Generation, Energy Transportation, Energy Services, Renewable Energy"
BT Group,BT-A.L,"Telecommunications Services, Cable Supplier",United Kingdom,105300.0,26.7,59.8,2.2,Communication Services,5.6342106,5.7833605,0.19,0.08,0.0733,0.51408696,77.01439,0.43437,0.16124001,0.08957,0.03902,0.12591,2.114,-0.006,0.392,182.887,0.949,13.20960786432,8.25467992064,4.76532007936,30.93056126976,"['Consumer', 'Enterprise', 'Global Services', 'Openreach', 'and Other']","Fixed-line and Mobile Telecommunications, Broadband, TV, Digital Network Services"
CRRC,601766.SS,Capital Goods,China,157237.0,32.3,65.3,1.7,Industrials,15.756098,14.043478,0.41,0.2,0.031,0.75558275,1.1912227,0.21869,0.088999994,0.051119998,0.01592,0.07757,7.906,0.027,1.919,16.415,1.235,25.59187943424,2.718174713856,8.093735215104,4.651963674624,[],"Rail Transit Equipment, New Materials, Electronic Information, Urban Infrastructure, Modern Services"
Hartford Financial Services,HIG,Insurance,United States,18800.0,22.9,67.3,1.9,Financial Services,12.616061,8.789336,7.97,1.88,0.0186,1.2177145,2.0016723,0.33686,0.15765001,0.10198,0.0276,0.17267,79.951,0.064,13.371,29.36,2.026,29.898545152,3.732,3.976,4.499999744,"['Commercial Lines', 'Personal Lines', 'Property & Casualty Other Operations', 'Group Benefits and Hartford Funds']","Property and Casualty Insurance, Group Benefits, Mutual Funds, Digital Insurance Solutions"
Dominion Energy,D,Utilities,United States,17200.0,16.8,104.2,0.994,Utilities,19.556452,14.181286,2.48,2.67,0.0554,2.8219264,1.5786219,0.48343,0.24052,0.13854,0.023929998,0.07817,17.208,-0.071,0.22,163.911,1.037,40.615985152,7.222000128,0.184,45.122998272,"['Power Delivery', 'Power Generation', 'and Gas Infrastructure']","Electric Utilities, Natural Gas Distribution, Renewable Energy, Energy Storage, LNG Export"
Mitsubishi Electric,6503.T,"Engineering, Manufacturing",Japan,149655.0,36.9,41.9,1.6,Industrials,20.630302,18.647285,123.75,50.0,0.0196,1.0220482,1.5707947,0.29472,0.06953,0.04993,0.03619,0.08145001,2480.57,0.015,349.045,15.965,1.93,48.55736476631041,4.817649179033601,6.6534831161344,5.1338193600512,"['Energy and Electric Systems', 'Industrial Automation Systems', 'Information and Communication Systems', 'Electronic Devices', 'Home Appliances', 'and Others']","Electronics, Electrical Equipment, Industrial Automation, Home Appliances, Information and Communication Systems"
Fresenius,FRE.DE,Healthcare & Social,Germany,300000.0,42.7,81.6,1.4,Healthcare,39.11111,7.1836734,0.63,0.92,0.0319,0.62236685,0.7304637,0.22683,0.02149,-0.02664,0.01212,0.00918,39.591,0.001,4.565,80.556,1.342,14.988412108800002,1.9332000000000005,2.77668006912,17.09639958528,"['Fresenius Medical Care', 'Fresenius Kabi', 'Fresenius Helios', 'Fresenius Vamed', 'and Corporate and Other']","Healthcare Products and Services, Dialysis Care, Generic Pharmaceuticals, Hospital Management"
Toyota Tsusho,8015.T,Materials,Japan,64402.0,72.7,47.9,2.1,Industrials,11.561489,10.629794,908.62,250.0,0.0239,0.36270678,1.6349257,0.10065,0.046869997,0.03136,0.04111,0.15167,28963.408,0.047,2739.035,90.859,1.568,33.637857912422405,5.223527671398401,8.7706074939392,19.9570094424064,"['Metals', 'Global Production Parts and Logistics', 'Automotive', 'Machinery', 'Energy', 'and Project', 'Chemicals and Electronics', 'Food and Consumer Products', 'Africa', 'and Others']","Trading, Machinery, Metals, Chemicals, Food, Automotive, Logistics"
