ID;Label;Definition
472;Data and Devices; Technologies for data management and connected devices.
473;Edible Oils; Production and distribution of oils for cooking and consumption.
474;Digital Commerce; Online platforms for commercial transactions.
475;Data & Media Solutions; Technologies for managing and distributing data and media content.
476;Asphalt; Production and application of asphalt for construction.
477;Waste Processing and Recycling; Technologies for treating and recycling waste.
478;Intelligence and Cyber Solutions; Technologies for intelligence gathering and cybersecurity.
479;Index Products; Financial products based on market indices.
480;International Banking; Banking services for international transactions and operations.
481;IPTV; Internet Protocol Television, a digital television broadcasting technology.
482;Smart Home and Security Solutions; Technologies for automating and securing homes.
483;Neuromodulation; Medical technologies for altering nerve activity to treat conditions.
484;Electronic Materials; Materials used in the production of electronic devices.
485;Coal Gasification; Process of converting coal into gas for energy production.
486;Bearings; Components used to reduce friction in machinery.
487;Digital Manufacturing Solutions; Technologies for digitizing and optimizing manufacturing processes.
488;Plant-based Alternatives; Food products made from plants as substitutes for animal-based products.
489;iGaming; Online gaming and betting platforms.
490;Hospitality Technology; Technologies for enhancing services in the hospitality industry.
491;Renewable Polymers and Chemicals; Environmentally friendly polymers and chemicals.
492;Renewable Aviation; Sustainable practices and technologies in the aviation industry.
493;Hotels and Inns; Lodging establishments providing accommodation and services.
494;Waterworks; Infrastructure for water supply and management.
495;Water Solutions; Technologies and services for water treatment and management.
496;Pet Nutrition; Products for the dietary needs of pets.
497;QSR; Quick Service Restaurants, fast-food establishments.
498;Digital Direct-to-Consumer Solutions; Online platforms for selling products directly to consumers.
499;Carbon Capture & Storage; Technologies for capturing and storing carbon emissions.
500;Utility & Telecom Investments; Investments in utilities and telecommunications infrastructure.
501;Catering; Food service for events and institutions.
502;Sports and Entertainment; Industries related to sports and entertainment activities.
503;Connected Home Monitoring; Technologies for remotely monitoring and managing home environments.
504;Communications; Technologies and services for facilitating communication.
505;Data and Technology Services; Comprehensive data and tech solutions for businesses.
506;IT Services; Information technology support and services for organizations.
507;Environmental Systems; Technologies for monitoring and managing environmental impact.
508;Digital Innovation; New digital technologies and approaches to business.
509;Gene Editing; Technologies for altering genetic material.
510;Cell Therapies; Medical treatments involving the use of living cells.
511;Lubricants; Substances used to reduce friction in machinery.
512;Smart Networks; Intelligent networking technologies for enhanced connectivity.
513;Distributed Energy; Decentralized energy production and distribution systems.
514;Smart Energy Solutions; Advanced technologies for optimizing energy use and management.
515;Digital Business Platform; Integrated online platforms for managing business operations.
516;Transport Refrigeration; Technologies for keeping transported goods cold.
517;Digital Climate Solutions; Technologies for monitoring and mitigating climate change.
518;Automotive Parts; Components used in vehicle manufacturing and repair.
519;Intelligent Logistics Solutions; Advanced technologies for optimizing logistics operations.
520;Autonomous Delivery Vehicles; Vehicles capable of delivering goods without human intervention.
521;Consulting; Professional advisory services for businesses.
522;Digital Real Estate Solutions; Online platforms for real estate transactions and management.
523;Renewable Energy Investment; Financial investments in renewable energy projects.
524;Building Materials; Materials used in construction.
525;Smart City Development; Technologies and strategies for creating smart, sustainable urban areas.
526;Digital Agribusiness Platform; Online platforms for managing agricultural operations.
527;Logistics Services; Comprehensive services for managing the movement of goods.
528;Power Solutions; Technologies for generating and managing power.
529;Smart Mobility and Energy Solutions; Integrated technologies for sustainable transportation and energy.
530;At-Home Solutions; Products and services designed for use at home.
531;Packaging; Materials and processes for protecting and presenting products.
532;Legal; Professional services related to law and legal matters.
533;Exhibitions; Events for displaying and promoting products and services.
534;Digital Information Solutions; Technologies for managing and distributing digital information.
535;Aerosystems; Technologies and systems for aerospace applications.
536;Digital Aviation Solutions; Digital technologies to enhance aviation operations.
537;Freight; Transportation of goods by land, sea, or air.
538;Retail Brokerage; Financial services for buying and selling securities for retail clients.
539;Real-World Solutions; Practical and applicable solutions for real-world challenges.
540;Digital HealthTech; Technologies for improving health care delivery and management.
541;Used Equipment; Market for buying and selling pre-owned machinery and equipment.
542;Digital Fleet Management Solutions; Online platforms for managing vehicle fleets.
543;HR Solutions; Services and technologies for managing human resources.
544;Family Wealth Solutions; Financial planning and management for family wealth.
545;Value-Added Products; Products that have been enhanced or improved for higher value.
546;Recycling; Processes for reclaiming materials from waste.
547;Accessories; Complementary items for various products and applications.
548;Digital and E-commerce Solutions; Online tools and platforms for enhancing digital sales and marketing.
549;Smart Manufacturing; Technologies for automating and optimizing manufacturing processes.
550;Communications Equipment; Devices used for transmitting and receiving information.
551;Hotel and Resort Operations; Management and operation of lodging facilities and resorts.
552;Aircraft Maintenance; Services for repairing and maintaining aircraft.
553;Travel Services; Comprehensive services for planning and booking travel.
554;Resource Development; Exploration and development of natural resources.
555;Investment; Allocation of capital with the expectation of future financial returns.
556;Energy Internet; Integration of internet technology with energy management systems.
557;Static Eliminators; Devices used to remove static electricity from surfaces.
558;Digital Factory Automation; Technologies for automating factory operations through digital tools.
559;Spirits; Production and sale of distilled alcoholic beverages.
560;Cannabinoid Products; Products containing cannabinoids, such as CBD and THC, derived from cannabis.
561;Urban Development Solutions; Strategies and technologies for improving urban infrastructure and living conditions.
562;Digital Energy Solutions; Technologies that enhance the management and efficiency of energy systems through digital platforms.
563;Analog ICs; Analog integrated circuits used in various electronic applications.
564;Energy Transport; Systems and technologies for transporting energy resources like oil, gas, and electricity.
565;Food and Agriculture; Industries involved in the production, processing, and distribution of food and agricultural products.
566;Sustainable City Development; Practices and technologies for creating environmentally friendly and sustainable urban areas.
567;Remote Site Operations; Management and operation of facilities in remote locations, often related to energy and mining.
568;Digital Hospitality Solutions; Digital tools and platforms to enhance hospitality services, including booking and customer management.
569;Supply and Marketing Services; Services that manage the supply chain and marketing efforts for various industries.
570;Corporate Solutions; Comprehensive services and technologies designed to meet the needs of businesses.
571;Supply Chain; Management of the flow of goods and services from production to consumption.
572;Alternative Fuel Vehicles; Vehicles powered by non-traditional fuels, such as electric or hydrogen.
573;Digital Engagement Solutions; Technologies that facilitate interaction and engagement with customers online.
574;Energy and Services; Comprehensive solutions for energy production, management, and related services.
575;Digital Transformation Solutions; Technologies and strategies to digitally transform business operations.
576;Sustainability Initiatives; Programs and practices aimed at promoting environmental and social sustainability.
577;Diagnostics; Medical technologies and tools for diagnosing diseases and conditions.
578;Capital Markets; Financial markets for buying and selling equity and debt instruments.
579;Textiles; Production and processing of fabrics and cloth materials.
580;IoT Solutions; Internet of Things technologies for connecting devices and systems.
581;Industrials; Sector involving manufacturing and industrial services.
582;Cellulose Fibers; Natural fibers derived from cellulose for various applications.
583;Premium Connections; High-quality connectivity solutions for telecommunications and networking.
584;Engineering Solutions; Professional engineering services and technologies.
585;LNG; Liquefied natural gas production, transport, and storage.
586;Sports Programming; Broadcasting and production of sports content.
587;Underwriting and Risk Solutions; Services for evaluating and managing risk in insurance and finance.
588;Electric Vehicles; Vehicles powered by electric motors and batteries.
589;Building Products; Materials and products used in construction.
590;Housing Materials; Materials specifically used in residential construction.
591;Treasury; Management of a company's cash flow, investments, and financial strategy.
592;Digital Travel Platforms; Online tools and services for booking and managing travel.
593;Engines Leasing; Leasing services for aircraft and industrial engines.
594;Investment Properties; Real estate investments for income generation and capital appreciation.
595;Digital Edge Services; Technologies for edge computing and processing.
596;Sustainable Mobility and Resources; Solutions for sustainable transportation and resource management.
597;Vehicle Components; Parts and systems used in the manufacturing of vehicles.
598;B2B Solutions; Business-to-business services and products.
599;Biochemicals; Chemicals derived from biological sources.
600;AI & Data Analytics; Advanced analytics and artificial intelligence technologies.
601;Digital Government; Technologies for improving government services and operations.
602;Energy Efficiency Programs; Initiatives to reduce energy consumption and improve efficiency.
603;Software and Analytics Solutions; Comprehensive software and data analysis tools.
604;Digital Technology; Advanced digital tools and platforms for various applications.
605;Nuclear and Thermal Power; Generation of electricity using nuclear and thermal energy.
606;Steel; Production and processing of steel products.
607;Multi-Tracks; Audio and video production technologies for multi-track recording.
608;Renewables; Technologies and systems for generating energy from renewable sources.
609;Agri-business; Businesses involved in agricultural production and services.
610;Memory Products; Storage devices and memory solutions for electronics.
611;Engineering and R&D Services; Professional services for engineering and research and development.
612;Digital Workplace; Technologies for enhancing remote work and digital collaboration.
613;Golf Course Properties; Real estate development and management of golf courses.
614;Gaming Real Estate; Properties and facilities used for gaming and entertainment.
615;Personal & Home Services; Services related to home maintenance and personal care.
616;PR and Public Affairs; Public relations and communication strategies for businesses.
617;Digital Experience Design; Creation of interactive and engaging digital user experiences.
618;Millwork; Woodworking for building interiors and furniture.
619;Construction Services; Professional services related to construction and building management.
620;Digital Supply Chain; Technologies for enhancing supply chain management through digital tools.
621;Lithium Recycling and Digital Solutions; Technologies for recycling lithium and other materials using digital tools.
622;Digital and Industrial Solutions; Comprehensive digital technologies for industrial applications.
623;Islamic Banking; Banking services compliant with Islamic law.
624;Chemical Products; Production and sale of chemical substances for various industries.
625;Commercial and Retail Operations; Management of commercial and retail businesses.
626;Bioproducts; Products derived from biological sources for industrial and consumer use.
627;Sustainable Construction Materials ; Environmentally friendly materials used in building construction.
628;Offshore Support Vessels; Ships that provide services to offshore oil and gas platforms.
629;LNG Terminals ; Facilities for liquefied natural gas processing and storage.
630;Healthcare Facilities; Buildings and infrastructure for providing medical services.
631;Data Centers ; Facilities used to house computer systems and associated components.
632;Digital Asset Management ; Technologies for managing digital assets and content.
633;Precision Medicine ; Personalized medical treatments based on genetic and environmental factors.
634;Voluntary Benefits; Additional employee benefits offered voluntarily by employers.
635;Absence Management ; Systems for managing employee leave and absences.
636;Records Management; Technologies and practices for managing organizational records.
637;Commercial Real Estate ; Properties used for business purposes.
638;Property Management; Services for managing residential and commercial properties.
639;Modern Agriculture ; Advanced farming techniques and technologies.
640;Data Center Solutions; Technologies and services for managing data centers.
641;Managed Services ; Outsourced management of IT and business processes.
642;FinTech Solutions ; Financial technologies to enhance and innovate financial services.
643;Midstream Operations ; Activities related to the transportation, storage, and wholesale marketing of oil and gas.
644;Industrial Services; Comprehensive services for industrial operations and maintenance.
645;Renewable Energy ; Production of energy from sustainable sources like wind, solar, and hydro.
646;IoT Solutions ; Internet of Things technologies for connecting devices and systems.
647;Electrification Solutions ; Technologies for transitioning to electric power.
648;Digital Insurance ; Online platforms for managing insurance services.
649;Materials Recycling; Processes for reclaiming materials from waste.
650;Logistics ; Management of the flow of goods from origin to consumption.
651;Service and Modernization; Services for updating and maintaining equipment and infrastructure.
652;Digital Solutions ; Comprehensive digital technologies for various applications.
653;Advanced Materials ; High-performance materials with superior properties.
654;Emissions Abatement; Technologies for reducing greenhouse gas emissions.
655;Digital Farming ; Use of digital technology to enhance agricultural productivity and efficiency.
656;Digitalization; The process of converting information into digital format.
657;Mobility Services ; Services and technologies that facilitate transportation.
658;Industrial Materials; Materials used in industrial manufacturing processes.
659;Information and Communications ; Technologies for processing and communicating information.
660;Music Streaming; Platforms for streaming music online.
661;Food Delivery ; Services that deliver food from restaurants to consumers.
662;Mining; Extraction of minerals and other geological materials.
663;Emerging Markets; Investment and business opportunities in developing economies.
664;Direct-to-Consumer ; Selling products directly to consumers, bypassing traditional retail.
665;Industrial Chemicals; Chemicals used in industrial processes and manufacturing.
666;Potassium ; Chemical element used in agriculture and various industrial applications.
667;Regenerative Medicine; Medical treatments that regenerate or replace damaged tissues and organs.
668;Digital Health ; Use of digital technologies to improve health and healthcare services.
669;Energy Efficiency; Technologies and practices to reduce energy consumption.
670;Energy Storage ; Technologies for storing energy, such as batteries and pumped hydro storage.
671;News and Media; Production and distribution of news and media content.
672;Artificial Intelligence ; Technologies that enable machines to perform tasks that typically require human intelligence.
673;New Energy Solutions ; Innovative energy technologies and systems.
674;Hospitality Solutions; Comprehensive services for the hospitality industry.
675;Residential Security ; Technologies for protecting residential properties.
676;Medical Solutions; Products and services for medical diagnostics and treatment.
677;Digital Services ; Online and mobile services for various applications.
678;Digital Banking ; Online and mobile banking services.
679;Shipping; Transporting goods by sea.
680;Energy Services ; Comprehensive services for managing energy use and efficiency.
681;AI-Driven Insights ; Data analysis and insights powered by artificial intelligence.
682;Carbon Capture and Storage ; Technologies for capturing and storing carbon dioxide emissions.
683;Sealants and Adhesives; Products used to seal and bond materials.
684;Waterproofing Solutions ; Technologies for protecting structures from water damage.
685;Financial Inclusion ; Services that provide financial access to underserved populations.
686;Trust Services; Management of financial trusts and fiduciary responsibilities.
687;Sustainable Technologies; Innovations that promote environmental and social sustainability.
688;Additive Manufacturing ; Technologies for creating objects by adding material layer by layer, such as 3D printing.
689;Terminal Operations; Management of facilities for loading and unloading goods.
690;Green Shipping Solutions ; Environmentally friendly practices and technologies in shipping.
691;Digital Insurance Solutions ; Online platforms for delivering insurance products.
692;Sustainability Services ; Consulting and services to promote sustainable business practices.
693;Modern Agriculture; Advanced farming techniques and technologies.
694;Healthcare ; Services and products related to medical care and wellness.
695;Energy-Efficient Vehicles; Vehicles designed to use less energy.
696;Digital Health Solutions ; Technologies that enhance healthcare delivery and management.
697;Measurement and Analytical Solutions; Tools for measuring and analyzing data.
698;Digital Transformation ; Integration of digital technology into all business areas.
699;Food Ingredients; Substances used in the production of food products.
700;Biotech Solutions ; Biotechnology applications for various industries.
701;Investment Solutions; Financial products and strategies for investment management.
702;Automotive Components; Parts and systems used in vehicle manufacturing.
703;Logistics Solutions ; Comprehensive services for managing the movement of goods.
704;Managed and Support Services; Outsourced services for IT and business operations.
705;Cybersecurity Solutions ; Technologies and strategies to protect digital systems and data.
706;Mineral Trading; Buying and selling of mineral commodities.
707;New Materials ; Development and application of innovative materials.
708;Special Alloys; High-performance metal alloys for specialized applications.
709;Digital Manufacturing Solutions ; Technologies for digitizing and optimizing manufacturing processes.
710;Maintenance and Overhaul; Services for maintaining and refurbishing machinery and equipment.
711;Digital Travel Services ; Online tools and platforms for planning and booking travel.
712;Digital Platforms ; Online systems that provide various services and functionalities.
713;Wealth Management ; Financial advisory services that help clients manage and grow their wealth.
714;Mine Development; Planning and construction of new mining operations.
715;Sustainable Mining Solutions ; Environmentally friendly mining practices and technologies.
716;Marketplace Solutions; Platforms that facilitate buying and selling between businesses or consumers.
717;Digital Health Services ; Online healthcare services, including telemedicine and digital health records.
718;Energy Devices; Equipment and tools for generating, storing, and managing energy.
719;Complete Vehicles; Manufacturing and sale of fully assembled vehicles.
720;Mobility Solutions ; Services and technologies that facilitate transportation.
721;Sustainability Initiatives ; Programs and practices aimed at promoting environmental and social sustainability.
722;Zinc Mining; Extraction of zinc ore for industrial use.
723;Merchandising ; The process of promoting and selling products to consumers.
724;Cybersecurity ; Protection of digital systems and data from cyber threats and attacks.
725;Biomedical Research; Scientific research focused on medical and health-related fields.
726;Rubber and Tires; Manufacturing of rubber products and tires for various vehicles.
727;Environmental Protection ; Technologies and practices to preserve and protect the environment.
728;Outdoor Recreation; Products and services for outdoor activities and sports.
729;E-commerce ; Buying and selling of goods and services online.
730;Urban Services; Services and infrastructure for urban areas.
731;Digital Fitness Solutions; Online and digital platforms for fitness and wellness.
732;Sustainable Products ; Products designed to have minimal environmental impact.
733;Customer Services ; Assistance and support provided to customers.
734;Data Analytics ; Analysis of data to extract useful insights and inform decision-making.
735;Smart Grid Solutions ; Advanced grid systems that enhance electricity distribution and management.
736;Sustainable Solutions ; Environmentally and socially responsible business practices.
737;Equity Investment; Investing in equity securities of companies.
738;Maritime Services; Services related to shipping and maritime industries.
739;Fire Protection; Technologies and services for preventing and managing fires.
740;Sustainability Solutions ; Innovations and strategies for sustainable business practices.
741;Plant-Based Foods; Foods made from plants, often as alternatives to animal products.
742;Supply Chain Services ; Comprehensive services for managing supply chains.
743;Waste Solutions; Technologies and services for managing and reducing waste.
744;Circular Economy Solutions ; Practices and technologies that promote recycling, reuse, and sustainable resource management.
745;Health Care; Services and products related to medical care and wellness.
746;Lighting Solutions; Technologies for efficient and effective lighting.
747;Assistance Services; Professional services that provide support and help.
748;Sustainable Mining; Environmentally friendly mining practices and technologies.
749;Closures; Devices and systems for sealing and closing products and containers.
750;Services and Software ; Comprehensive services and software solutions for various industries.
751;Lifestyle Brand; Brands that promote a particular way of life or values.
752;International Expansion; Strategies and practices for growing a business internationally.
753;Module Manufacturing; Production of modular components for various applications.
754;New Energy Ventures; Innovative projects and businesses focused on new energy sources.
755;Warehousing; Storage solutions for goods and products.
756;Supply Chain Consulting; Advisory services for optimizing supply chain operations.
757;Engineering Consulting; Professional engineering advisory services.
758;Paper; Production and processing of paper products.
759;New Wood-Based Offerings; Innovative products derived from wood.
760;Electrification; Technologies and systems for transitioning to electric power.
761;New Mobility Solutions; Advanced technologies and services for modern transportation needs.
762;E-commerce Ventures; Business projects focused on online sales.
763;Subscription Models; Business models that offer products or services on a subscription basis.
764;FinTech Ventures; Innovative projects in the financial technology sector.
765;Health Solutions; Comprehensive products and services for healthcare.
766;Real Estate Services; Services related to buying, selling, and managing real estate.
767;Digital Platforms; Online systems that provide various services and functionalities.
768;New Technology Ventures; Innovative projects focused on emerging technologies.
769;Impact Investing; Investments made with the intention to generate positive social or environmental impact.
770;Informatics; The study and practice of creating, storing, and managing information.
771;New Surgical Platforms; Advanced technologies for surgical procedures.
772;Fintech Partnerships; Collaborations between financial technology companies.
773;Logistics Facilities; Infrastructure and buildings for managing logistics operations.
774;PropTech Ventures; Innovative projects in the property technology sector.
775;New Material Development; Research and development of innovative materials.
776;New Retail Formats; Modern and innovative approaches to retailing.
777;Cosmetics Manufacturing; Production of beauty and personal care products.
778;Health Care Ventures; Innovative projects in the healthcare sector.
779;Merchant Solutions; Services and technologies for retail and business merchants.
780;Emerging Technology Ventures; Projects focused on the development of new technologies.
781;InsurTech Solutions; Innovative technologies for the insurance industry.
782;Clean Energy Solutions; Technologies and systems for generating energy with minimal environmental impact.
783;Agri-Business; Businesses involved in agricultural production and services.
784;Health and Well-being; Products and services that promote health and wellness.
785;Building Analytics; Technologies for analyzing and optimizing building performance.
786;New Construction Technologies; Innovative technologies for the construction industry.
787;Renal Care; Medical services and products for kidney health.
788;Lifecycle Services; Comprehensive services that support products from development to disposal.
789;Connected Operations; Integrated systems for managing and optimizing operations.
790;Nuclear; Technologies and services related to nuclear energy.
791;Electrical Power Systems; Systems and technologies for generating and distributing electrical power.
792;FinTech Solutions; Financial technologies to enhance and innovate financial services.
793;Pension Funds; Investment funds that manage retirement savings.
794;Sustainable Steel Solutions; Environmentally friendly steel production and processing.
795;New Steel Ventures; Innovative projects in the steel industry.
796;Credit Solutions; Financial products and services for managing credit.
797;New Digital Services; Modern digital services for various applications.
798;Ancillary Services; Additional services that complement main offerings.
799;Investments; Allocation of capital with the expectation of future financial returns.
800;InsurTech Ventures; Innovative projects in the insurance technology sector.
801;New Energy Businesses; Emerging businesses focused on new energy technologies.
802;Alcoholic Beverages; Production and sale of alcoholic drinks.
803;New Beverage Categories; Innovative and new types of beverages.
804;Port Operations; Management and operation of ports and harbors.
805;Cruise Technology Solutions; Technologies for enhancing cruise ship operations.
806;Plant-Based Protein; Protein products derived from plants.
807;New Food Ventures; Innovative projects in the food industry.
808;Nutrition Products; Products designed to provide nutritional benefits.
809;New Dairy Segments; Innovative products and categories in the dairy industry.
810;Research; Systematic investigation to establish facts and reach new conclusions.
811;Maintenance Services; Services for maintaining and repairing equipment and infrastructure.
812;Smart Building Solutions; Technologies for automating and optimizing building operations.
813;New Industrial Solutions; Innovative products and services for industrial applications.
814;Intellectual Property; Legal rights and protections for creations and inventions.
815;Group Benefits; Employee benefits provided by employers to groups of employees.
816;Machinery; Machines and equipment used in various industries.
817;New Electrification Solutions; Advanced technologies for electric power applications.
818;Aftermarket Services; Services for products after the initial sale, including repairs and upgrades.
819;New Energy Vehicles; Vehicles powered by alternative energy sources.
820;Index Services; Financial services related to market indices.
821;Market Technology Solutions; Technologies for financial market operations.
822;Dry Bulk Shipping; Transportation of bulk commodities by sea.
823;New Maritime Ventures; Innovative projects in the maritime industry.
824;Extended Protection Plans; Additional warranty and protection services for products.
825;Digital Retailing; Online platforms and services for retail operations.
826;Iron Ore Mining; Extraction of iron ore for industrial use.
827;New Steel Solutions; Innovative approaches to steel production and applications.
828;New Materials Development; Research and development of innovative materials.
829;Semiconductor Display; Technologies for semiconductor-based display systems.
830;Landfill; Waste management through disposal in landfills.
831;Diversification into New Energy; Expanding business operations into new energy sectors.
832;Real Estate Management; Services for managing real estate properties.
833;Cell Analysis; Technologies for analyzing cellular properties and functions.
834;Lab Management Solutions; Technologies and services for managing laboratory operations.
835;Delivery Services; Logistics services for transporting goods to customers.
836;New Restaurant Concepts; Innovative ideas and business models for the restaurant industry.
837;Nickel; Mining and processing of nickel for various applications.
838;New Metals and Mining Ventures; Innovative projects in the metals and mining industry.
839;Value-Added Services; Services that enhance the value of primary products or offerings.
840;Cyber Security; Protection of digital systems and data from cyber threats and attacks.
841;New Aerospace Solutions; Innovative technologies for the aerospace industry.
842;Automation Systems; Technologies for automating industrial and business processes.
843;New Factory Automation Solutions; Advanced technologies for automating manufacturing processes.
844;Risk Consulting; Advisory services for managing and mitigating business risks.
845;Sports Equipment; Production and sale of equipment for sports and fitness activities.
846;New Sports and Wellness Offerings; Innovative products and services in the sports and wellness sector.
847;Offshore Wind; Technologies for generating wind energy in offshore locations.
848;Military Services; Services related to defense and military operations.
849;New Water Solutions; Innovative technologies for water management and treatment.
850;Automotive Services; Comprehensive services for vehicle maintenance and repair.
851;Sustainable Mobility Solutions; Environmentally friendly transportation technologies.
852;New Lifestyle and Wellness Offerings; Innovative products and services for lifestyle and wellness.
853;Digital Banking Services; Online and mobile banking services.
854;Health and Crop Sciences; Research and products related to health and agricultural sciences.
855;New Materials and Solutions; Development of new materials and their applications.
856;New Protein Ventures; Innovative projects focused on alternative protein sources.
857;Mobile Communications; Services and technologies for mobile communication.
858;New Internet Services; Innovative online services and platforms.
859;Gem-Set Jewelry; Jewelry featuring gemstones.
860;New Luxury Offerings; Innovative products and services in the luxury sector.
861;Payments; Technologies and services for facilitating financial transactions.
862;Shipping and Logistics; Comprehensive solutions for the transportation and delivery of goods.
863;New Venture Capital; Investment funds focused on innovative and emerging businesses.
864;Aftermarket; Services and products provided after the initial sale, including maintenance and upgrades.
865;New Propulsion Solutions; Advanced technologies for vehicle and aircraft propulsion.
866;New Clean Energy Ventures; Innovative projects focused on sustainable and renewable energy sources.
867;Surgical Monitoring; Technologies for real-time monitoring of patients during surgery.
868;New Cardiovascular Solutions; Advanced treatments and technologies for cardiovascular health.
869;New Consumer Offerings; Innovative products and services for consumers.
870;Medical Imaging Systems; Equipment and technologies for capturing images of the body's interior.
871;New Healthcare Solutions; Innovative approaches and technologies in healthcare.
872;Ocular Health; Products and services focused on eye care and vision health.
873;New Ophthalmic Innovations; Advanced technologies and treatments for eye conditions.
874;Value-Add Campuses; Integrated campuses offering additional services and amenities.
875;New Real Estate Ventures; Innovative projects and investments in real estate.
876;Treasury and Capital Markets; Financial services for managing cash, investments, and capital markets activities.
877;Online Retail; E-commerce platforms for buying and selling goods and services.
878;Ground Handling; Services for managing aircraft operations on the ground.
879;Aviation Services; Comprehensive services for the aviation industry, including maintenance and support.
880;Cannabis; Products and services related to the cultivation, processing, and sale of cannabis.
881;Renovation; Services and products for upgrading and improving buildings and structures.
882;New Housing Solutions; Innovative approaches to housing and residential development.
883;Manufacturing Operations; Processes and technologies for producing goods.
884;New Digital Solutions; Advanced digital technologies for various applications.
885;Institutional Services; Professional services for institutions, including finance and education.
886;New Investment Solutions; Innovative financial products and strategies for investing.
887;New Financial Services; Modernized financial services for consumers and businesses.
888;Bell Helicopters; Manufacturing and servicing of Bell brand helicopters.
889;Consulting Services; Professional advisory services across various industries.
890;Destination Services; Comprehensive services for travel destinations, including tours and experiences.
891;New Travel Experiences; Innovative travel offerings for unique and memorable experiences.
892;Network Security; Technologies and strategies to protect networks from cyber threats.
893;New Networking Solutions; Advanced technologies for enhancing network connectivity.
894;Agri; Products and services related to agriculture.
895;New Infrastructure Solutions; Innovative approaches to infrastructure development and management.
896;Plasters and Wound Care; Medical products for treating and protecting wounds.
897;New Personal Care Products; Innovative products for personal hygiene and care.
898;Fasteners; Devices and hardware for securely joining materials together.
899;New Product Lines; Development and launch of new product categories.
900;Drayage; Short-haul transportation of goods, often related to shipping containers.
901;Clothing; Manufacturing and sale of apparel.
902;New Property Solutions; Innovative real estate services and products.
903;Urbanization Solutions; Technologies and strategies for managing urban growth and development.
904;New Building Materials; Advanced materials for construction and building projects.
905;Decorative Paints; Paint products designed for aesthetic finishes.
906;New Surface Solutions; Innovative technologies for treating and finishing surfaces.
907;Manufacturing Intelligence; Advanced analytics and AI for optimizing manufacturing processes.
908;New Digital Realities; Technologies for creating virtual and augmented reality experiences.
909;Leasing; Services for renting equipment, property, and vehicles.
910;Robomachine; Advanced robotics and machinery for automation.
911;New Automation Solutions; Cutting-edge technologies for automating processes and systems.
912;Financial Solutions; Comprehensive financial products and services.
913;Defense Products; Technologies and equipment for military applications.
914;Tourism and Hospitality; Services and products related to travel and accommodation.
915;Fast Casual Dining; Restaurants offering quick service with high-quality food.
916;New Mining Ventures; Innovative projects in the mining industry.
917;New Consumer Products; Development and launch of new goods for consumers.
918;Senior Housing; Residential options designed for elderly individuals.
919;New Housing Models; Innovative approaches to residential development and living arrangements.
920;Retail Refrigeration; Technologies for cooling and preserving products in retail settings.
921;New Technology Solutions; Advanced tech solutions for various industries.
922;Town Development; Comprehensive planning and development of new towns and communities.
923;New Real Estate Offerings; Innovative products and services in the real estate market.
924;Centrica Business Solutions; Energy solutions and services for businesses by Centrica.
925;New Mining Projects; Development of new mining operations and sites.
926;Fragrance Ingredients; Production and sale of ingredients for fragrances.
927;New Sensory Experiences; Innovative products and services that enhance sensory experiences.
928;Data and Insights; Analysis and insights derived from data.
929;New Financial Technology; Advanced technologies for the financial industry.
930;Energy Transition; Strategies and technologies for transitioning to sustainable energy sources.
931;New Technology Offerings; Introduction of new technological products and services.
932;Health and Protection; Comprehensive health and safety products and services.
933;New Financial Solutions; Innovative approaches to financial services.
934;Active Pharmaceutical Ingredients; Production of essential components for pharmaceuticals.
935;Finance Solutions; Comprehensive financial products and services for businesses and individuals.
936;Space Systems; Technologies and services for space exploration and operations.
937;Media and Streaming; Platforms and services for distributing digital media content.
938;Artist Services; Support and services for artists, including management and promotion.
939;Industrial Gases; Production and distribution of gases for industrial applications.
940;New Industrial Ventures; Innovative projects in the industrial sector.
941;New Optical Solutions; Advanced technologies for optics and vision.
942;Memory Care; Services and products for individuals with memory impairments.
943;New Healthcare Real Estate; Development of real estate for healthcare facilities.
944;Sponsorship; Funding and support for events, organizations, and individuals.
945;New Mobility Offerings; Innovative transportation solutions for modern mobility needs.
946;Modernization; Updating and improving existing systems and infrastructure.
947;New Urban Mobility Solutions; Advanced technologies for urban transportation.
948;Brake and Chassis; Components and systems for vehicle braking and chassis.
949;Dairy; Production and processing of milk and dairy products.
950;Infrastructure Development; Planning and construction of infrastructure projects.
951;New Rail Solutions; Advanced technologies for rail transportation.
952;Financial Inclusion; Providing financial services to underserved populations.
953;Investment Trust; Investment funds that pool money from investors to buy securities.
954;International Operations; Management of business activities across multiple countries.
955;New Aviation Solutions; Innovative technologies for the aviation industry.
956;Travel and Hospitality; Services and products related to travel and accommodation.
957;DesignWare; Tools and technologies for designing and developing products.
958;New Silicon Solutions; Advanced semiconductor technologies.
959;New Connectivity Solutions; Technologies for enhancing digital connectivity.
960;Logistics and Retail; Integration of logistics services with retail operations.
961;New Business Ventures; Innovative projects and startups in various industries.
962;Carbon Fiber; Production and application of carbon fiber materials.
963;New Advanced Materials; Development of high-performance materials for various applications.
964;Subscription Services; Business models offering products or services on a subscription basis.
965;Investment Products; Financial instruments for investment purposes.
966;Logistics Properties; Real estate and facilities for logistics operations.
967;Security Operations; Services for protecting people, property, and information.
968;New Security Platforms; Advanced technologies for enhancing security.
969;City-gas Projects; Infrastructure for supplying gas to urban areas.
970;New Grid Solutions; Advanced technologies for modernizing electrical grids.
