company_name,Ticker1,description,Industry,Country/Territory,Employees,Revenue,Assets,Profits,Nombre del archivo,Sector,Symbol,Short Name,Long Name,Financial Currency,Market Cap,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Ex-Dividend Date,Price to Sales (ttm),Price to Book Value (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),EBITDA (ttm),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Range of Price Targets
Bank Of Jiangsu,600958.SS,"Bank of Jiangsu Co., Ltd. provides commercial banking services. It operates through the following business segments: Corporate finance, Personal finance, Funds, and Others. The Corporate finance segment provides corporate loans and advances, trade finance, finance lease, deposit, agency, wealth management, financial consulting, remittance and settlement, management, and security services to corporate clients, government agencies, and financial institutions. The Personal finance segment provides personal loans, deposit, personal finance, money transfer, stock brokerage, and bank card services to individual clients. The Funds segment includes inter-bank market transactions and investments such as inter-bank borrowing, repurchase transactions, investment and trade of debt instruments, investment in derivative financial instruments, and foreign exchange trade. The Others segment includes businesses that are not attributable to a specific segment. The company was founded on January 22, 2007 and is headquartered in Nanjing, China. Read Less",Banking,China,"17,590",$19.9B,$464.1B,$3.9B,600958.SS.json,Financial Services,600958.SS,ORIENT SECURITIES COMPANY LIMIT,Orient Securities Company Limited,CNY,68468310016,20.348837,13.257575,0.43,0.15,0.0171,1687910400,4.0074835,1.0089945,1.0,-0.09696,0.16097,N/A,0.03524,N/A,1.864,-0.497,N/A,195054632960,22.957,156941549568,199.434,N/A,"(4.2, 12.38)"
Micron Technology,MU,"Micron Technology, Inc. engages in the provision of innovative memory and storage solutions. It operates through the following segments: Compute and Networking Business Unit (CNBU); Mobile Business Unit (MBU); Storage Business Unit (SBU); and Embedded Business Unit (EBU). The Compute and Networking Business Unit segment includes memory products sold into cloud server, enterprise, client, graphics, and networking markets. The Mobile Business Unit segment offers memory products sold into smartphone, and other mobile-device markets. The Storage Business Unit segment comprises of SSDs and component-level solutions sold into enterprise and cloud, client, and consumer solid-state drive (SSD) markets, other discrete storage products sold in component and wafer forms to the removable storage markets, and sales of 3D XPoint memory. The Embedded Business Unit segment consists of memory and storage products sold into automotive, industrial, and consumer markets. The company was founded by Ward D. Parkinson, Joseph L. Parkinson, Dennis Wilson, and Doug Pitman in October 1978 and is headquartered in Boise, ID. Read Less","Semiconductors, Electronics, Electrical Engineering",United States,"40,000",$23.1B,$66.5B,$1.6B,MU.json,Technology,MU,"Micron Technology, Inc.","Micron Technology, Inc.",USD,121264513024,N/A,17.299213,-6.28,0.46,0.0047999998,1703808000,7.494253,2.8279057,-0.14486,-0.23868,-0.42470002,-0.06068,-0.14908,N/A,14.77,0.157,1272999936,9048000512,8.196,14168000512,33.037,3.532,"(39.06, 138.08)"
Couche Tard,ATD-B.TO,"Alimentation Couche-Tard, Inc. engages in the operation of independent convenience stores. It sells goods for immediate consumption, road transportation fuel, and other products mainly through company-operated stores and franchises stores. It operates under Circle K, Ingo, Couche-Tara brands. The company was founded by Alain Bouchard, Jacques D'Amours, Richard Fortin, and Réal Plourde in 1980 and is headquartered in Laval, Canada.",Retailing,Canada,"96,000",$71.8B,$28.3B,$2.9B,ATD-B.TO.json,N/A,ATD-B.TO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"('N/A', 'N/A')"
PG&E,PCG,"PG&E Corp. is a holding company, which engages in generation, transmission, and distribution of electricity and natural gas to customers. It specializes in energy, utility, power, gas, electricity, solar and sustainability. The company was founded in 1995 and is headquartered in San Francisco, CA.",Utilities,United States,"26,010",$21.7B,$128.5B,$1.8B,PCG.json,Utilities,PCG,Pacific Gas & Electric Co.,PG&E Corporation,USD,42904809472,15.64762,11.17687,1.05,0.02,0.0011999999,1711497600,1.7563784,1.3999659,0.34006,0.19670999,0.09178001,0.01764,0.092709996,N/A,11.835,0.311,7185999872,635000000,0.298,57733001216,228.266,0.831,"(16.0, 22.0)"
Freeport-McMoRan,FCX,"Freeport-McMoRan, Inc. engages in the mining of copper, gold, and molybdenum. It operates through the following segments: North America Copper Mines; South America Mining; Indonesia Mining; Molybdenum Mines; Rod and Refining; Atlantic Copper Smelting and Refining; and Corporate, Other, and Eliminations. The North America Copper Mines segment operates open-pit copper mines in Morenci, Bagdad, Safford, Sierrita and Miami in Arizona; and Chino and Tyrone in New Mexico. The South America Mining segment includes Cerro Verde in Peru and El Abra in Chile. The Indonesia Mining segment handles the operations of Grasberg minerals district that produces copper concentrate that contains significant quantities of gold and silver. The Molybdenum Mines segment includes the Henderson underground mine and Climax open-pit mine, both in Colorado. The Rod and Refining segment consists of copper conversion facilities located in North America, and includes a refinery, rod mills, and a specialty copper products facility. The Atlantic Copper Smelting and Refining segment smelts and refines copper concentrate and markets refined copper and precious metals in slimes. The Corporate, Other, and Eliminations segment consists of other mining and eliminations, oil and gas operations, and other corporate and elimination items. The company was founded by James R. Moffett on November 10, 1987 and is headquartered in Phoenix, AZ. Read Less","Construction, Chemicals, Raw Materials",United States,"25,600",$22.4B,$50.9B,$2.6B,FCX.json,Basic Materials,FCX,"Freeport-McMoRan, Inc.",Freeport-McMoRan Inc.,USD,66327121920,36.125004,23.472082,1.28,0.6,0.012999999,1704931200,2.9020836,3.974899,0.40376,0.28467,0.080860004,0.07461,0.14377,N/A,15.938,0.026,8457999872,4758000128,3.317,9852999680,36.078,2.419,"(34.06, 52.47)"
Huaxia Bank,600015.SS,"Hua Xia Bank Co., Ltd. provides commercial banking services. It operates through the following business segments: Electronic banking, Personal banking, Corporate banking, Small and medium enterprise credit banking, and Financing. Its services include public deposits, loans, domestic and international settlement, bill acceptance and discount, issuance of financial bonds, agency issuance and underwriting of government bonds, trade of government and financial bonds, inter-bank lending and borrowing, foreign exchange trade, bank card service, provision of letters of credit and letters of guarantee, collection and payment service, safe deposit box, foreign exchange settlement and sale, and sideline insurance agency. The company was founded on October 14, 1992 and is headquartered in Beijing, China. Read Less",Banking,China,"40,556",$24.9B,$586.3B,$3.7B,600015.SS.json,Financial Services,600015.SS,HUAXIA BANK CO,"Hua Xia Bank Co., Limited",CNY,100741316608,4.335616,3.859756,1.46,0.38,0.060500003,1687305600,1.0808342,0.3733632,N/A,0.24106,0.28284,N/A,0.08287,N/A,5.233,1.595,N/A,650631970816,40.882,1078179987456,N/A,N/A,"(3.5, 5.1)"
United Overseas Bank,U11.SI,"United Overseas Bank Ltd. (Singapore) engages in the provision of financial services. It operates through the following segments: Group Retail (GR); Group Wholesale Banking (GWB); Global Markets (GM); and Others. The GR segment provides customers with financial solutions. The GWB segment offers tailored financial solutions, services and sector insights. The GM segment manages the bank's liquidity, investments, and market making financial instruments. The Others segment covers non-banking activities and corporate functions. The company was founded by Wee Kheng Chiang on August 6, 1935 and is headquartered in Singapore. Read Less",Banking,Singapore,"28,659",$12B,$376B,$3.3B,U11.SI.json,Financial Services,U11.SI,UOB,United Overseas Bank Limited,SGD,48934440960,8.774775,8.049586,3.33,1.7,0.0582,1714003200,3.7610054,1.1239759,N/A,0.41314,0.43894002,0.01114,0.12712,N/A,7.609,0.036,N/A,94791000064,56.678,48048001024,N/A,N/A,"(28.5, 34.0)"
Kering,KER.PA,"Kering SA engages in the retail of apparels and accessories. It designs, manufactures, and markets luxury products. The company operates through the following segments: Luxury and Sports & Lifestyle. The Luxury segment gathers portfolio of highly attractive brand including Gucci, Bottega Veneta, Saint Laurent, Alexander McQueen, Balenciaga, Brioni, Christopher Kane, McQ, Stella McCartney, Tomas Maier, Sergio Rossi, Boucheron, Dodo, Girard-Perregaux, JeanRichard, Pomellato, Qeelin, and Ulysse Nardin. The Sports & Lifestyle brings iconic brands including Puma, Volcom, Cobra, Electric, and Tretorn. Kering was founded in 1963 and is headquartered in Paris, France. Read Less","Clothing, Shoes, Sports Equipment",France,"42,000",$21.4B,$36.2B,$3.8B,KER.PA.json,Consumer Cyclical,KER.PA,KERING,Kering SA,EUR,51672707072,15.223453,N/A,24.39,14.0,0.0373,1714608000,2.6409438,2.99199,0.76291,0.21281,0.15246001,0.078779995,0.19966,N/A,159.923,-0.095,5600999936,3921999872,31.995,17820999680,111.312,1.382,"(372.0, 575.0)"
Shin-Etsu Chemical,4063.T,"Shin-Etsu Chemical Co., Ltd. engages in the manufacture and sale of industrial chemicals. Its operations are carried out through the following segments: Polyvinyl Chloride (PVC)/Chlor-Alkali Business, Silicone Business, Specialty Chemicals Business, Semiconductor Silicon Business, Electronics and Functional Materials Business, and Diversified Business. The PVC/Chlor-Alkali Business segment provides PVC, caustic soda, methanol, and chloromethane. The Silicone Business segment provides silicones. The Specialty Chemicals Business segment provides cellulose derivatives, silicon metal, polyvinyl alcohol, and synthetic pheromones. The Semiconductor Silicon Business segment provides silicon wafer products. The Electronics and Functional Materials Business segment provides rare earth magnets, coating materials, photomask blanks, oxide single crystals, and liquid fluoroelastomers. The Diversified Business segment includes processed plastics, international trading, engineering, ad information processing. The company was founded on September 16, 1926 and is headquartered in Tokyo, Japan. Read Less",Chemicals,Japan,"24,069",$20.7B,$35.5B,$5.2B,4063.T.json,Basic Materials,4063.T,SHIN-ETSU CHEMICAL CO,"Shin-Etsu Chemical Co., Ltd.",JPY,13721953894400,25.806814,22.165995,266.48,100.0,0.0146,1711584000,5.5577197,3.2187028,0.38825,0.28304002,0.21719,0.094680004,0.13708,N/A,1227.938,-0.168,980033994752,1678179041280,841.051,25600999424,0.578,6.222,"(4900.0, 7800.0)"
Gree Electric Appliances,000651.SZ,"Gree Electric Appliances, Inc. of Zhuhai engages in the research and development, manufacture, and sale of air conditioners. Its products include residential and commercial air conditioners, air to water heat pumps, home appliances, refrigerators, smartphones, and industrial products. The company was founded by Jiang Hong Zhu on December 13, 1989 and is headquartered in Zhuhai, China.","Engineering, Manufacturing",China,"90,000",$27.5B,$56B,$3.6B,000651.SZ.json,Consumer Cyclical,000651.SZ,GREE ELEC APPLICAN,"Gree Electric Appliances, Inc. of Zhuhai",CNY,213543059456,7.966386,7.1682415,4.76,2.0,0.052699998,1691539200,1.0866959,1.8971381,0.28636998,0.15883,0.13381,0.04097,0.23018,N/A,35.617,0.067,30134667264,186743439360,33.218,92013649920,78.714,1.239,"(28.2, 72.0)"
Discover Financial Services,DFS,"Discover Financial Services is a holding company, which engages in the provision of direct banking and payment services. It operates through the Direct Banking and Payment Services segments. The Direct Banking segment offers Discover-branded credit cards issued to individuals and small businesses on the Discover Network; and consumer banking products and services, including private student loans, personal loans, home equity loans, and deposit products. The Payment Services segment includes PULSE, Diners Club, and the company's network partners business, which includes credit, debit, and prepaid cards issued on the Discover Network by third parties. The company was founded in 1986 and is headquartered in Riverwoods, IL. Read Less",Banking and Financial Services,United States,"20,200",$16.9B,$133.1B,$4.1B,DFS.json,Financial Services,DFS,Discover Financial Services,Discover Financial Services,USD,31866855424,11.294848,9.2561865,11.26,2.8,0.0223,1708473600,3.2378435,2.3096342,0.93821996,0.28114998,0.29872,0.02076,0.20156,N/A,38.748,-0.194,N/A,11685000192,46.636,21330999296,143.856,1.102,"(104.0, 168.0)"
Citic Securities,601995.SS,"CITIC Securities Co., Ltd. engages in the provision of financial products and services. It operates through the following business segments: Investment Banking, Brokerage, Trading, Asset Management, and Others. The Investment Banking segment is the securities placement and underwriting acitivities, and financial advisory services. The Brokerage segment refers to the securities and futures dealing and brokerage, as well as the sale of financial products as agent. The Trading segment is the equity, fixed income and derivatives trading and market-making, margin financing and securities lending and alternative investment activities. The Others segment handles private equity investment, principal investment and other financial activities. The company was founded on October 25, 1995 and is headquartered in Shenzhen, China. Read Less",Diversified Financials,China,"23,696",$13.6B,$209.6B,$3.1B,601995.SS.json,Financial Services,601995.SS,CHINA INTL CAPITAL CORPORATION ,China International Capital Corporation Limited,CNY,119418109952,30.130436,20.748505,1.15,0.18,0.0052,1692316800,4.799906,1.926927,0.90863997,0.199,0.24892001,0.00975,0.06272,N/A,4.98,-0.205,N/A,443101773824,91.792,276569391104,267.183,1.469,"(39.73, 51.0)"
Lennar,LEN,"Lennar Corp. is a homebuilder company, which engages in the provision of real estate related financial and investment management services. It operates through the following segments: Homebuilding East, Homebuilding Central, Homebuilding Texas, Homebuilding West, Financial Services, Multifamily, and Lennar Other. The Financial Services segment focuses on the mortgage financing, title insurance and closing services for both buyers of homes and others. The Multifamily develops, constructs and manages property of multifamily rental. The Lennar Other segment involves in raising, investing, and managing third-party capital, originating, and selling into securitizations commercial mortgage loans. The company was founded by Gene Fisher and Arnold Paul Rosen in 1954 and is headquartered in Miami, FL. Read Less",,United States,"12,012",$34B,$36.6B,$4.7B,LEN.json,Consumer Cyclical,LEN,Lennar Corporation,Lennar Corporation,USD,45568200704,12.042243,10.118727,13.73,2.0,0.012200001,1705968000,1.2998738,1.7183537,0.23989001,0.13467,0.11585,0.092930004,0.15904,N/A,124.738,0.127,5732256768,7359005184,26.572,2830331904,10.57,17.658,"(122.0, 238.0)"
China Communications Construction,601800.SS,"China Communications Construction Co. Ltd. engages in infrastructure construction, infrastructure design and dredging businesses. It operates through the following segments: Construction, Design and Dredging. The Construction segment involves in infrastructure construction of ports, roads, bridges and railways. The Design segment involves in infrastructure design of ports, roads and bridges. The company was founded on October 8, 2006 and is headquartered in Beijing, China.",Construction,China,"136,506",$106.8B,$218.8B,$2.8B,601800.SS.json,Industrials,601800.SS,CHINA COMMUNICATIONS CONSTRUCTI,China Communications Construction Company Limited,CNY,113505542144,7.392857,5.87234,1.12,0.22,0.026199998,1689638400,0.15634908,0.52651656,0.118039995,0.05017,0.02688,0.011469999,0.058569998,N/A,45.158,0.022,44044492800,163097608192,10.028,618786193408,139.015,0.93,"(5.2, 12.81)"
PDD Holdings,PDD,"Pinduoduo, Inc. operates as a holding company, which engages in the development and management of an e-commerce platform. Its Pinduoduo mobile application offers a selection of merchandise for buyer acquisition and engagement. The company was founded by Hua Lin Cai and Zheng Huang on April 20, 2015 and is headquartered in Shanghai, China.",Business Services & Supplies,China,"12,992",$19.3B,$34.1B,$4.6B,PDD.json,Consumer Cyclical,PDD,PDD Holdings Inc.,PDD Holdings Inc.,CNY,162486550528,27.858772,11.669848,4.39,N/A,N/A,N/A,0.65614223,1.0306498,0.62961,0.25197,0.24239999,0.12538,0.39360002,N/A,N/A,1.232,60922929152,217209831424,N/A,10165901312,5.429,1.928,"(117.58, 225.97)"
Progressive,PGR,"Progressive Corp. is an insurance holding company, which engages in the provision of personal and commercial auto insurance, residential property insurance, and other specialty property-casualty insurance and related services. It operates through the following segments: Personal Lines, Commercial Lines and Property. The Personal Lines segment includes agency and direct businesses. The Commercial Lines segment writes primary liability and physical damage insurance for automobiles and trucks owned and operated predominately by small business in the auto, for-hire transportation, contractor, for-hire specialty, tow, and for-hire livery markets. The Property segment covers residential property insurance for homeowners, other property owners, and renters. The company was founded in 1965 and is headquartered in Mayfield Village, OH. Read Less",Insurance,United States,"55,100",$52B,$74.5B,$855.5M,PGR.json,Financial Services,PGR,Progressive Corporation (The),The Progressive Corporation,USD,120402345984,31.241642,18.654264,6.58,1.15,0.0056,1712102400,1.9393989,6.081953,0.088929996,0.1524,0.06286,0.03938,0.21579,N/A,106.142,0.254,5471799808,1874800000,3.201,7065800192,34.846,0.321,"(161.0, 259.0)"
Berkshire Hathaway,BRK.A,"Berkshire Hathaway, Inc. provides property and casualty insurance and reinsurance, utilities and energy, freight rail transportation, finance, manufacturing, retailing, and services. It operates through following segments: GEICO, Berkshire Hathaway Reinsurance Group, Berkshire Hathaway Primary Group, Burlington Northern Santa Fe, LLC (BNSF), Berkshire Hathaway Energy, McLane Company, Manufacturing, and Service and Retailing. The GEICO segments involves in underwriting private passenger automobile insurance mainly by direct response methods. The Berkshire Hathaway Reinsurance Group segment consists of underwriting excess-of-loss and quota-share and facultative reinsurance worldwide. The Berkshire Hathaway Primary Group segment comprises of underwriting multiple lines of property and casualty insurance policies for primarily commercial accounts. The BNSF segment operates railroad systems in North America. The Berkshire Hathaway Energy segments deals with regulated electric and gas utility, including power generation and distribution activities, and real estate brokerage activities. The McLane Company segment offers wholesale distribution of groceries and non-food items. The Manufacturing segment includes industrial and end-user products, building products, and apparel. The Service and Retailing segment provides fractional aircraft ownership programs, aviation pilot training, electronic components distribution, and various retailing businesses, including automobile dealerships, and trailer and furniture leasing. The company was founded by Oliver Chace in 1839 and is headquartered in Omaha, NE. Read Less",Conglomerate,United States,"383,000",$302.1B,$948.5B,-$22.8B,BRK.A.json,N/A,BRK.A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"('N/A', 'N/A')"
LG Chem,051910.KS,"LG Chem Ltd. manufactures petrochemicals, IT & electronic materials and energy solution materials. It operates through through the following business segments: Petrochemicals, IT & Electronic Materials, Batteries. The Petrochemical division offers naphtha cracking centers and polyolefins, synthetic rubbers and specialty polymers, polyvinyl chloride, acrylonitrile-butadiene-styrene and engineering plastics, acrylates and plasticizers. The IT & Electronic Material division provides optical and display materials namely polarizers, phosphors, organic light emitting diode, photosensitive materials for liquid crystal display; printed circuit materials such as flexible materials, halogen free materials, integrated circuit packaging materials, epoxy resin system materials, high speed materials and build-up materials; toners such as color toners, black laser printer toners and black copier toners. The Battery division provides lithium-ion cylindrical batteries, lithium-ion polymer batteries, lithium-ion prismatic batteries, medium and large batteries. The company was founded in January 1947 and is headquartered in Seoul, South Korea. Read Less",Chemicals,South Korea,"12,561",$41.8B,$53.8B,$1.4B,051910.KS.json,Basic Materials,051910.KS,LGCHEM,"LG Chem, Ltd.",KRW,33651672743936,N/A,7.8123484,N/A,3500.0,0.008,1703635200,0.60908246,N/A,0.15905,0.05133,0.02421,0.02174,0.05268,N/A,705841.1,N/A,6443055972352,9142004613120,116793.266,21928114913280,53.564,1.569,"(500000.0, 970000.0)"
Principal Financial Group,PFG,"Principal Financial Group, Inc. is a financial company, which offers financial products and services to businesses, individuals and institutional clients. It specializes in retirement solutions, insurance, and investment products through its diverse family of financial services companies and national network of financial professionals. It operates its business through following segments: Retirement and Income Solutions, Principal Global Investors, Principal International, U.S. Insurance Solutions and Corporate. The Retirement and Income Solutions segment provides retirement and related financial products and services primarily to businesses, their employees and other individuals. The Principal Global Investors segment provides asset management services to asset accumulation business, insurance operations, corporate segment and third party clients and also refers to mutual fund business. The Principal International segment offers pension accumulation products and services, mutual funds, asset management, income annuities and life insurance accumulation products. The U.S. Insurance Solutions segment operates through two divisions. Specialty benefits insurance division consists of group dental and vision insurance, individual and group disability insurance, group life insurance and non-medical fee-for-service claims administration. Individual life insurance division provides solutions for small & medium-sized businesses. The Corporate segment manages the assets representing capital that has not been allocated to any other segment. The company was founded by Edward A. Temple in 1879 and is headquartered in Des Moines, IA. Read Less",Banking and Financial Services,United States,"19,300",$17.2B,$278.5B,$4.3B,PFG.json,Financial Services,PFG,Principal Financial Group Inc,"Principal Financial Group, Inc.",USD,19928485888,33.13333,10.058333,2.55,2.76,0.032899998,1710115200,1.4582744,1.8300555,0.42734,-0.40386,0.0456,0.00161,0.06236,N/A,56.634,-0.146,1040600000,5623199744,23.84,4599300096,41.026,1.471,"(68.0, 86.0)"
Delta Air Lines,DAL,"Delta Air Lines, Inc. engages in the provision of scheduled air transportation for passengers and cargo. It operates through the Airline and Refinery segments. The Airline segment provides scheduled air transportation for passengers and cargo. The Refinery segment consists of jet fuel and non-jet fuel products. The company was founded by Collett Everman Woolman in 1928 and is headquartered in Atlanta, GA.",Transportation and Logistics,United States,"95,000",$54B,$73.1B,$1.9B,DAL.json,Industrials,DAL,"Delta Air Lines, Inc.","Delta Air Lines, Inc.",USD,29592905728,6.415621,6.1251664,7.17,0.4,0.0088,1708646400,0.5098006,2.6480916,0.22399999,0.1499,0.0794,0.052160002,0.52117,N/A,90.842,0.059,8089999872,3868000000,6.052,28380999680,255.57,0.389,"(47.0, 77.0)"
DNB Bank,DNB.OL,"DNB ASA provides banking and financial services. It operates through the following segments: Personal Customers; Small & Medium-Sized Enterprises; Large Corporates & International Customers; Trading; and Traditional Pension Products. The Personal Customers segment includes the group's total products and activities to private customers in all channels, both digital and physical. The segment offers products through Norway's various distribution networks which include branches, telephone banking, digital banking, real estate broking as well as external channels. The Small & Medium-Sized Enterprises segment is responsible for product sales and advisory services to small and medium-sized enterprises in Norway. The Large Corporates & International Customers segment includes Norwegian and international corporate customers and all customers served by DNB's subsidiary banks in the Baltics and Poland. The Trading segment includes market making and other trading activities in fixed income, currencies and commodities as well as equities, including risk management of the risk inherent in customer transactions. The Traditional Pension Products segment includes traditional defined-benefit pension products in DNB Livsforsikring. The company was founded in 1822 and is headquartered in Oslo, Norway. Read Less",Banking,Norway,"10,625",$12.4B,$337.7B,$3.5B,DNB.OL.json,Financial Services,DNB.OL,DNB BANK ASA,DNB Bank ASA,NOK,321385332736,8.536488,9.145188,24.94,16.0,0.0753,1714435200,4.065287,1.3067763,N/A,0.60637003,0.49935,0.011879999,0.15267,N/A,51.439,0.068,N/A,595022970880,392.278,1346049015808,N/A,N/A,"(192.0, 249.0)"
Wilmar International,F34.SI,"Wilmar International Ltd. is an investment holding company, which engages in the processing, merchandising, and distribution of agricultural products. It operates through the following segments: Tropical Oils; Oilseeds and Grains; Sugar; and Others. The Tropical Oils segments processes, merchandise, brands and distributes palm oil and laurics related products including oleochemical and biodiesel. The Oilseeds and Grains segment comprises the merchandising and processing of a wide range of agricultural products including non palm and lauric edible oils, oilseeds, flour and rice milling, corn processing and downstream products like wheat and rice noodles in consumer pack, medium pack and in bulk. The Sugar segment engages in milling, refining, merchandising, branding, and distribution of sugar and its related products. The Others segment includes the manufacturing and distribution of fertiliser products and ship-chartering services. The company was founded by Kuok Khoon Hong and Martua Sitorus in 1991 and is headquartered in Singapore. Read Less","Food, Drink & Tobacco",Singapore,"100,000",$73.4B,$60.4B,$2.4B,F34.SI.json,Consumer Defensive,F34.SI,Wilmar Intl,Wilmar International Limited,USD,21724700672,9.157895,8.7,0.38,0.17,0.048899997,1714348800,0.3234996,1.077066,0.07848,0.0446,0.02271,0.0251,0.07312,N/A,10.746,-0.071,3673285120,8436209152,1.351,30701799424,134.942,1.159,"(3.38, 4.62)"
Ameriprise Financial,AMP,"Ameriprise Financial, Inc. operates as a holding company. The company provides financial planning, asset management and insurance services to individuals, businesses and institutions. It operates through five segments: Advice & Wealth Management; Asset Management; Annuities; Protection; and Corporate & Other. The Advice & Wealth Management segment provides financial planning and advice, as well as full service brokerage and banking services, primarily to retail clients through the company's financial advisors. The Asset Management segment provides investment advice and investment products to retail and institutional clients. It also provides products and services on a global scale through two complementary asset management businesses: Columbia Management and Threadneedle. The Columbia Management business primarily provides U.S. domestic products and services and Threadneedle primarily provides international investment products and services. Its international retail products are primarily provided through third-party financial institutions. The segments retail products include mutual funds and variable product funds underlying insurance and annuity separate accounts. The Annuities segment provides variable and fixed annuity products of RiverSource Life companies to retail clients. The Protection segment offers a variety of protection products to address the protection and risk management needs of the company's retail clients, including life, DI, and property-casualty insurance. The Corporate & Other segment consists of net investment income on corporate level assets, including excess capital held in the company's subsidiaries and other unallocated equity and other revenues from various investments as well as unallocated corporate expenses. Ameriprise Financial was founded by John Tappan in 1894 and is headquartered in Minneapolis, MN. Read Less",Banking and Financial Services,United States,"13,500",$16B,$166.6B,$2.2B,AMP.json,Financial Services,AMP,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc.",USD,43656224768,18.37748,11.824424,23.71,5.4,0.0125,1707350400,2.7122407,9.230003,0.58536,0.28695,0.1588,0.021,0.59916,N/A,152.28,0.121,N/A,7662000128,76.398,4230000128,89.448,3.128,"(360.0, 479.0)"
Bank of Beijing,601169.SS,"Bank of Beijing Co., Ltd. engages in the provision of commercial bank services. Its business includes corporate banking, retail banking, financial market business, and direct banking business. Its business scope includes accept public deposits; issue short-term, medium-term and long-term loans; handle domestic settlement; handle discounted bills; issuing financial bonds; acting as a distributor, as agent, as underwriting of government bonds; buying and selling government bonds; provide guarantees; agency payment and agency insurance business; provide safe deposit box business; foreign exchange deposits; foreign exchange loans; foreign exchange remittance; foreign currency exchange; foreign exchange interbank lending; international settlement; settlement, sale of foreign exchange; acceptance and discount of foreign exchange bills; foreign exchange guarantee; credit investigation, consulting, and witness business; trading and acting on behalf of foreign currency securities other than stocks; proprietary and valet foreign exchange trading; securities settlement business; open securities investment funds consignment business;  bond settlement agency business; and short-term financing bonds underwriting business. The company was founded on December 8, 1995 and is headquartered in Beijing, China. Read Less",Banking,China,"17,980",$18.6B,$509.7B,$3.6B,601169.SS.json,Financial Services,601169.SS,BANK OF BEIJING CO. LTD.,"Bank of Beijing Co., Ltd.",CNY,119035084800,5.3113213,4.614754,1.06,0.31,0.0551,1688601600,2.465005,0.48513573,N/A,0.53296,0.53079,0.0075199995,0.08128,N/A,2.288,0.083,N/A,541408985088,25.607,777115992064,N/A,N/A,"(3.4, 5.92)"
Kinder Morgan,KMI,"Kinder Morgan, Inc. is an energy infrastructure company, which engages in the operation of pipelines and terminals that transport natural gas; gasoline; crude oil; carbon dioxide (CO2) and other products and stores petroleum products chemicals; and handles bulk materials like ethanol, coal, petroleum coke and steel. The firm operates through the following segments: Natural Gas Pipelines, CO2, Terminals, Product Pipelines, and Kinder Morgan Canada. The Natural Gas Pipelines segment engages in the ownership and operation of major interstate and intrastate natural gas pipeline and storage systems, natural gas and crude oil gathering systems, and natural gas processing and treating facilities. The CO2 segment focuses on the production, transportation, and marketing of CO2 to oil fields that use CO2 as a flooding medium for recovering crude oil from mature oil fields to increase production. The Terminals segment consists of the ownership and operation of liquids and bulk terminal facilities located throughout the U.S. and portions of Canada that transload and store refined petroleum products, crude oil, chemicals, ethanol and bulk products, including coal, petroleum coke, fertilizer, steel and ores. The Products Pipelines segment owns and operates refined petroleum products, NGL and crude oil and condensate pipelines that primarily deliver, among other products, gasoline, diesel and jet fuel, propane, crude oil, and condensate to various markets. The Kinder Morgan Canada segment operates the Trans Mountain pipeline system that transports crude oil and refined petroleum products from Edmonton, Alberta, Canada for marketing terminals and refineries in British Columbia, Canada and the state of Washington. The company was founded by Richard D. Kinder and William V. Morgan in February 1997 and is headquartered in Houston, TX. Read Less","Construction, Chemicals, Raw Materials",United States,"10,525",$18.3B,$68.9B,$2.5B,KMI.json,Energy,KMI,"Kinder Morgan, Inc.","Kinder Morgan, Inc.",USD,40192790528,17.084908,14.259843,1.06,1.13,0.0627,1706572800,2.621155,1.3264484,0.49491,0.27291,0.15593,0.03763,0.07788,N/A,6.864,-0.118,6440000000,83000000,0.037,32679000064,102.994,0.352,"(17.0, 23.0)"
Fannie Mae,FNMA,"Federal National Mortgage Association is a government-sponsored company. It engages in the provision of liquidity for purchases of homes and financing of multifamily rental housing and refinancing existing mortgages. The firm operates through the following segments: Single-Family and Multifamily. The Single-Family segment offers liquidity to the mortgage market and increase the availability and affordability of housing for single families. The Multifamily segment includes guaranty fees on the mortgage and on the multifamily mortgage loans. Federal National Mortgage Association was founded in 1938 and is headquartered in Washington, DC. Read Less",Banking and Financial Services,United States,"8,000",$125.6B,$4.3T,$12.3B,FNMA.json,Financial Services,FNMA,FEDERAL NATIONAL MORTGAGE ASSOC,Federal National Mortgage Association,USD,2252485120,Infinity,0.81041664,N/A,N/A,N/A,1218672000,0.070529014,N/A,1.0,0.70969003,0.54507,0.00403,0.25236,N/A,5.443,0.968,N/A,66718998528,11.626,4222858035200,5436.083,82.093,"(2.0, 2.0)"
